M,metrica,bloque,modelo,razon_vs_mejor,razon_vs_FAR
1,4. E_max peor de la ventana,train,PSBPM-FD,1.1676100256499842,1.108030428991367
1,4. E_max peor de la ventana,test,FAR,1.026692084197391,1.0
1,4. E_max peor de la ventana,test,RF,1.101759158964017,1.0769784631743555
1,4. E_max peor de la ventana,test,GBT,1.095381945192398,1.0704594340053533
1,4. E_max peor de la ventana,test,PSBPM-FD,1.0755941406982894,1.0505146388771578
2,1. MAE  (L^1),train,FAR,1.0568665298896769,1.0
2,1. MAE  (L^1),train,RF,1.3105174046198627,1.2500999800723576
2,1. MAE  (L^1),train,GBT,1.1527132291573292,1.1064851624777416
2,1. MAE  (L^1),train,PSBPM-FD,1.9059147842430801,1.8001724692358965
2,1. MAE  (L^1),test,FAR,1.0001992678086853,1.0
2,1. MAE  (L^1),test,RF,1.6091637807405499,1.6089176647916759
2,1. MAE  (L^1),test,GBT,1.4529483561693877,1.4527393174790915
2,1. MAE  (L^1),test,PSBPM-FD,1.3559573718867948,1.355761966598767
2,2. RMSE (L^2),train,FAR,1.0698610277386835,1.0
2,2. RMSE (L^2),train,RF,1.3053951513274957,1.2324350340805528
2,2. RMSE (L^2),train,GBT,1.1745517050730003,1.118828169640417
2,2. RMSE (L^2),train,PSBPM-FD,1.576824740752387,1.4828371359496988
2,2. RMSE (L^2),test,FAR,1.0099300477505653,1.0
2,2. RMSE (L^2),test,RF,1.4531629995480588,1.442162623207434
2,2. RMSE (L^2),test,GBT,1.376658877499153,1.3669938150769185
2,2. RMSE (L^2),test,PSBPM-FD,1.2463069154792101,1.2370856454888093
2,3. E_max promedio por curva,train,FAR,1.04824111015101,1.0
2,3. E_max promedio por curva,train,RF,1.1516781374986347,1.1043488392286342
2,3. E_max promedio por curva,train,GBT,1.088606231201791,1.0474782394651512
2,3. E_max promedio por curva,train,PSBPM-FD,1.346926187260265,1.279478314384794
2,3. E_max promedio por curva,test,FAR,1.003817320007008,1.0
2,3. E_max promedio por curva,test,RF,1.3366529429015812,1.3328913207859743
2,3. E_max promedio por curva,test,GBT,1.3001524485699683,1.2965418269090887
2,3. E_max promedio por curva,test,PSBPM-FD,1.2856052755305247,1.281896116970979
2,4. E_max peor de la ventana,train,FAR,1.0830018472435212,1.0
2,4. E_max peor de la ventana,train,RF,1.1769396559649399,1.099251240867568
2,4. E_max peor de la ventana,train,GBT,1.1545941140967164,1.0857779884975076
2,4. E_max peor de la ventana,train,PSBPM-FD,1.1869618825169803,1.1016296890500816
2,4. E_max peor de la ventana,test,FAR,1.0337494070609992,1.0
2,4. E_max peor de la ventana,test,RF,1.1149348087529192,1.0846306231038814
2,4. E_max peor de la ventana,test,GBT,1.1909833430037744,1.1587981383749544
2,4. E_max peor de la ventana,test,PSBPM-FD,1.0928176658803892,1.0606582347286855
3,1. MAE  (L^1),train,FAR,1.1879029825816094,1.0
3,1. MAE  (L^1),train,RF,1.7326419880210948,1.4836056586963726
3,1. MAE  (L^1),train,GBT,1.0781039140930553,0.9452558042974912
3,1. MAE  (L^1),train,PSBPM-FD,1.549551919410035,1.3307653233341687
3,1. MAE  (L^1),test,FAR,1.0565917095563255,1.0
3,1. MAE  (L^1),test,RF,1.8480447006509402,1.7590377756942313
3,1. MAE  (L^1),test,GBT,1.3383069694026983,1.2737231156827142
3,1. MAE  (L^1),test,PSBPM-FD,1.0155578656287378,0.9642071136240007
3,2. RMSE (L^2),train,FAR,1.2036560287764984,1.0
3,2. RMSE (L^2),train,RF,1.770558944166815,1.5099076708209258
3,2. RMSE (L^2),train,GBT,1.1416300989208763,1.0036084737763442
3,2. RMSE (L^2),train,PSBPM-FD,1.3998032238606175,1.1844916156178797
3,2. RMSE (L^2),test,FAR,1.0486984613756463,1.0
3,2. RMSE (L^2),test,RF,1.7952625310818577,1.7154300709973187
3,2. RMSE (L^2),test,GBT,1.3483777641340844,1.2912470468424702
3,2. RMSE (L^2),test,PSBPM-FD,1.0119380358701981,0.9676754231786369
3,3. E_max promedio por curva,train,FAR,1.1432704457779945,1.0
3,3. E_max promedio por curva,train,RF,1.2754142352062428,1.1244697860272013
3,3. E_max promedio por curva,train,GBT,1.0469254219243573,0.9378791579400941
3,3. E_max promedio por curva,train,PSBPM-FD,1.271073965063236,1.115335485177954
3,3. E_max promedio por curva,test,FAR,1.0238656762242566,1.0
