t,bloque,banda,I_t_puntual,I_t_simultaneo
224,train,FAR (IC del modelo AR),1.0,1.0
225,train,FAR (IC del modelo AR),1.0,1.0
226,train,FAR (IC del modelo AR),0.9795918367346939,0.0
227,train,FAR (IC del modelo AR),1.0,1.0
228,train,FAR (IC del modelo AR),1.0,1.0
229,train,FAR (IC del modelo AR),1.0,1.0
230,train,FAR (IC del modelo AR),0.9795918367346939,0.0
231,train,FAR (IC del modelo AR),1.0,1.0
232,train,FAR (IC del modelo AR),1.0,1.0
233,train,FAR (IC del modelo AR),1.0,1.0
234,train,FAR (IC del modelo AR),0.9795918367346939,0.0
235,train,FAR (IC del modelo AR),1.0,1.0
236,train,FAR (IC del modelo AR),1.0,1.0
237,train,FAR (IC del modelo AR),1.0,1.0
238,train,FAR (IC del modelo AR),0.9795918367346939,0.0
239,train,FAR (IC del modelo AR),0.9795918367346939,0.0
240,train,FAR (IC del modelo AR),1.0,1.0
241,train,FAR (IC del modelo AR),1.0,1.0
242,train,FAR (IC del modelo AR),1.0,1.0
243,train,FAR (IC del modelo AR),1.0,1.0
244,train,FAR (IC del modelo AR),1.0,1.0
245,train,FAR (IC del modelo AR),1.0,1.0
246,train,FAR (IC del modelo AR),1.0,1.0
247,train,FAR (IC del modelo AR),1.0,1.0
248,train,FAR (IC del modelo AR),0.9795918367346939,0.0
249,train,FAR (IC del modelo AR),1.0,1.0
250,train,FAR (IC del modelo AR),1.0,1.0
251,train,FAR (IC del modelo AR),1.0,1.0
252,train,FAR (IC del modelo AR),1.0,1.0
253,train,FAR (IC del modelo AR),1.0,1.0
254,train,FAR (IC del modelo AR),1.0,1.0
255,train,FAR (IC del modelo AR),1.0,1.0
256,train,FAR (IC del modelo AR),1.0,1.0
257,train,FAR (IC del modelo AR),1.0,1.0
258,train,FAR (IC del modelo AR),1.0,1.0
259,train,FAR (IC del modelo AR),1.0,1.0
260,train,FAR (IC del modelo AR),1.0,1.0
261,train,FAR (IC del modelo AR),1.0,1.0
262,train,FAR (IC del modelo AR),0.9795918367346939,0.0
263,train,FAR (IC del modelo AR),1.0,1.0
264,train,FAR (IC del modelo AR),1.0,1.0
265,train,FAR (IC del modelo AR),1.0,1.0
266,train,FAR (IC del modelo AR),1.0,1.0
267,train,FAR (IC del modelo AR),1.0,1.0
268,train,FAR (IC del modelo AR),1.0,1.0
269,train,FAR (IC del modelo AR),1.0,1.0
270,train,FAR (IC del modelo AR),1.0,1.0
271,train,FAR (IC del modelo AR),1.0,1.0
272,train,FAR (IC del modelo AR),1.0,1.0
273,train,FAR (IC del modelo AR),1.0,1.0
274,train,FAR (IC del modelo AR),1.0,1.0
275,train,FAR (IC del modelo AR),0.9387755102040817,0.0
276,train,FAR (IC del modelo AR),1.0,1.0
277,train,FAR (IC del modelo AR),1.0,1.0
278,train,FAR (IC del modelo AR),1.0,1.0
279,train,FAR (IC del modelo AR),1.0,1.0
280,train,FAR (IC del modelo AR),1.0,1.0
281,train,FAR (IC del modelo AR),1.0,1.0
282,train,FAR (IC del modelo AR),1.0,1.0
283,train,FAR (IC del modelo AR),1.0,1.0
284,train,FAR (IC del modelo AR),1.0,1.0
285,train,FAR (IC del modelo AR),1.0,1.0
286,train,FAR (IC del modelo AR),1.0,1.0
287,train,FAR (IC del modelo AR),1.0,1.0
288,train,FAR (IC del modelo AR),1.0,1.0
289,train,FAR (IC del modelo AR),1.0,1.0
290,train,FAR (IC del modelo AR),1.0,1.0
291,train,FAR (IC del modelo AR),1.0,1.0
292,train,FAR (IC del modelo AR),1.0,1.0
293,train,FAR (IC del modelo AR),1.0,1.0
294,train,FAR (IC del modelo AR),1.0,1.0
295,train,FAR (IC del modelo AR),1.0,1.0
296,train,FAR (IC del modelo AR),1.0,1.0
297,train,FAR (IC del modelo AR),1.0,1.0
298,train,FAR (IC del modelo AR),1.0,1.0
299,train,FAR (IC del modelo AR),1.0,1.0
300,train,FAR (IC del modelo AR),1.0,1.0
301,train,FAR (IC del modelo AR),1.0,1.0
302,train,FAR (IC del modelo AR),1.0,1.0
303,train,FAR (IC del modelo AR),1.0,1.0
304,train,FAR (IC del modelo AR),1.0,1.0
305,train,FAR (IC del modelo AR),1.0,1.0
306,train,FAR (IC del modelo AR),1.0,1.0
307,train,FAR (IC del modelo AR),1.0,1.0
308,train,FAR (IC del modelo AR),1.0,1.0
309,train,FAR (IC del modelo AR),1.0,1.0
310,train,FAR (IC del modelo AR),1.0,1.0
311,train,FAR (IC del modelo AR),0.9795918367346939,0.0
312,train,FAR (IC del modelo AR),1.0,1.0
313,train,FAR (IC del modelo AR),1.0,1.0
314,train,FAR (IC del modelo AR),1.0,1.0
315,train,FAR (IC del modelo AR),1.0,1.0
316,train,FAR (IC del modelo AR),1.0,1.0
317,train,FAR (IC del modelo AR),1.0,1.0
318,train,FAR (IC del modelo AR),1.0,1.0
319,train,FAR (IC del modelo AR),1.0,1.0
320,train,FAR (IC del modelo AR),1.0,1.0
321,train,FAR (IC del modelo AR),1.0,1.0
322,train,FAR (IC del modelo AR),1.0,1.0
323,train,FAR (IC del modelo AR),1.0,1.0
324,train,FAR (IC del modelo AR),1.0,1.0
325,train,FAR (IC del modelo AR),1.0,1.0
326,train,FAR (IC del modelo AR),1.0,1.0
327,train,FAR (IC del modelo AR),1.0,1.0
328,train,FAR (IC del modelo AR),0.9795918367346939,0.0
329,train,FAR (IC del modelo AR),1.0,1.0
330,train,FAR (IC del modelo AR),1.0,1.0
331,train,FAR (IC del modelo AR),1.0,1.0
332,train,FAR (IC del modelo AR),1.0,1.0
333,train,FAR (IC del modelo AR),1.0,1.0
334,train,FAR (IC del modelo AR),1.0,1.0
335,train,FAR (IC del modelo AR),1.0,1.0
336,train,FAR (IC del modelo AR),1.0,1.0
337,train,FAR (IC del modelo AR),1.0,1.0
338,train,FAR (IC del modelo AR),1.0,1.0
339,train,FAR (IC del modelo AR),1.0,1.0
