M,covariable,componente,pip
6,fpc_4_lag1,FPC 6,
6,fpc_5_lag1,FPC 1,
6,fpc_5_lag1,FPC 2,
6,fpc_5_lag1,FPC 3,
6,fpc_5_lag1,FPC 4,
6,fpc_5_lag1,FPC 5,0.002999999999999947
6,fpc_5_lag1,FPC 6,
6,fpc_6_lag1,FPC 1,
6,fpc_6_lag1,FPC 2,
6,fpc_6_lag1,FPC 3,
6,fpc_6_lag1,FPC 4,
6,fpc_6_lag1,FPC 5,
6,fpc_6_lag1,FPC 6,0.5895
7,fpc_1_lag1,FPC 1,1.0
7,fpc_1_lag1,FPC 2,
7,fpc_1_lag1,FPC 3,
7,fpc_1_lag1,FPC 4,
7,fpc_1_lag1,FPC 5,
7,fpc_1_lag1,FPC 6,
7,fpc_1_lag1,FPC 7,
7,fpc_2_lag1,FPC 1,
7,fpc_2_lag1,FPC 2,0.4285
7,fpc_2_lag1,FPC 3,
7,fpc_2_lag1,FPC 4,
7,fpc_2_lag1,FPC 5,
7,fpc_2_lag1,FPC 6,
7,fpc_2_lag1,FPC 7,
7,fpc_3_lag1,FPC 1,
7,fpc_3_lag1,FPC 2,
7,fpc_3_lag1,FPC 3,0.501
7,fpc_3_lag1,FPC 4,
7,fpc_3_lag1,FPC 5,
7,fpc_3_lag1,FPC 6,
7,fpc_3_lag1,FPC 7,
7,fpc_4_lag1,FPC 1,
7,fpc_4_lag1,FPC 2,
7,fpc_4_lag1,FPC 3,
7,fpc_4_lag1,FPC 4,1.0
7,fpc_4_lag1,FPC 5,
7,fpc_4_lag1,FPC 6,
7,fpc_4_lag1,FPC 7,
7,fpc_5_lag1,FPC 1,
7,fpc_5_lag1,FPC 2,
7,fpc_5_lag1,FPC 3,
7,fpc_5_lag1,FPC 4,
7,fpc_5_lag1,FPC 5,0.002999999999999947
7,fpc_5_lag1,FPC 6,
7,fpc_5_lag1,FPC 7,
7,fpc_6_lag1,FPC 1,
7,fpc_6_lag1,FPC 2,
7,fpc_6_lag1,FPC 3,
7,fpc_6_lag1,FPC 4,
7,fpc_6_lag1,FPC 5,
7,fpc_6_lag1,FPC 6,0.5895
7,fpc_6_lag1,FPC 7,
7,fpc_7_lag1,FPC 1,
7,fpc_7_lag1,FPC 2,
7,fpc_7_lag1,FPC 3,
7,fpc_7_lag1,FPC 4,
7,fpc_7_lag1,FPC 5,
7,fpc_7_lag1,FPC 6,
7,fpc_7_lag1,FPC 7,1.0
8,fpc_1_lag1,FPC 1,1.0
8,fpc_1_lag1,FPC 2,
8,fpc_1_lag1,FPC 3,
8,fpc_1_lag1,FPC 4,
8,fpc_1_lag1,FPC 5,
8,fpc_1_lag1,FPC 6,
8,fpc_1_lag1,FPC 7,
8,fpc_1_lag1,FPC 8,
8,fpc_2_lag1,FPC 1,
8,fpc_2_lag1,FPC 2,0.4285
8,fpc_2_lag1,FPC 3,
8,fpc_2_lag1,FPC 4,
8,fpc_2_lag1,FPC 5,
8,fpc_2_lag1,FPC 6,
8,fpc_2_lag1,FPC 7,
8,fpc_2_lag1,FPC 8,
8,fpc_3_lag1,FPC 1,
8,fpc_3_lag1,FPC 2,
8,fpc_3_lag1,FPC 3,0.501
8,fpc_3_lag1,FPC 4,
8,fpc_3_lag1,FPC 5,
8,fpc_3_lag1,FPC 6,
8,fpc_3_lag1,FPC 7,
8,fpc_3_lag1,FPC 8,
8,fpc_4_lag1,FPC 1,
8,fpc_4_lag1,FPC 2,
8,fpc_4_lag1,FPC 3,
8,fpc_4_lag1,FPC 4,1.0
8,fpc_4_lag1,FPC 5,
8,fpc_4_lag1,FPC 6,
8,fpc_4_lag1,FPC 7,
8,fpc_4_lag1,FPC 8,
8,fpc_5_lag1,FPC 1,
8,fpc_5_lag1,FPC 2,
8,fpc_5_lag1,FPC 3,
8,fpc_5_lag1,FPC 4,
8,fpc_5_lag1,FPC 5,0.002999999999999947
8,fpc_5_lag1,FPC 6,
8,fpc_5_lag1,FPC 7,
8,fpc_5_lag1,FPC 8,
8,fpc_6_lag1,FPC 1,
8,fpc_6_lag1,FPC 2,
8,fpc_6_lag1,FPC 3,
8,fpc_6_lag1,FPC 4,
8,fpc_6_lag1,FPC 5,
8,fpc_6_lag1,FPC 6,0.5895
8,fpc_6_lag1,FPC 7,
8,fpc_6_lag1,FPC 8,
8,fpc_7_lag1,FPC 1,
8,fpc_7_lag1,FPC 2,
8,fpc_7_lag1,FPC 3,
8,fpc_7_lag1,FPC 4,
8,fpc_7_lag1,FPC 5,
8,fpc_7_lag1,FPC 6,
8,fpc_7_lag1,FPC 7,1.0
8,fpc_7_lag1,FPC 8,
8,fpc_8_lag1,FPC 1,
8,fpc_8_lag1,FPC 2,
8,fpc_8_lag1,FPC 3,
8,fpc_8_lag1,FPC 4,
8,fpc_8_lag1,FPC 5,
8,fpc_8_lag1,FPC 6,
8,fpc_8_lag1,FPC 7,
8,fpc_8_lag1,FPC 8,0.0009999999999999454
