t,bloque,I_t
574,test,1.0
575,test,1.0
576,test,1.0
577,test,1.0
578,test,0.77
579,test,1.0
580,test,1.0
581,test,1.0
582,test,1.0
583,test,1.0
584,test,0.99
585,test,1.0
586,test,0.44
587,test,1.0
588,test,1.0
589,test,0.26
590,test,1.0
591,test,0.78
592,test,1.0
593,test,0.76
594,test,1.0
595,test,1.0
596,test,1.0
597,test,1.0
598,test,1.0
599,test,1.0
600,test,0.74
601,test,1.0
602,test,0.88
603,test,0.93
604,test,1.0
605,test,0.83
606,test,1.0
607,test,1.0
608,test,1.0
609,test,0.93
610,test,1.0
611,test,1.0
612,test,1.0
613,test,0.14
614,test,0.72
615,test,1.0
616,test,1.0
617,test,0.9
618,test,0.97
619,test,0.83
620,test,1.0
621,test,1.0
622,test,0.86
623,test,0.85
624,test,1.0
625,test,0.29
626,test,1.0
627,test,1.0
628,test,1.0
629,test,1.0
630,test,0.93
631,test,0.69
632,test,1.0
633,test,0.54
634,test,0.23
635,test,1.0
636,test,1.0
637,test,1.0
638,test,1.0
639,test,1.0
640,test,1.0
641,test,1.0
642,test,0.76
643,test,1.0
644,test,1.0
645,test,1.0
646,test,0.89
647,test,0.14
648,test,1.0
649,test,1.0
650,test,1.0
651,test,1.0
652,test,1.0
653,test,1.0
654,test,0.25
655,test,1.0
656,test,1.0
657,test,1.0
658,test,1.0
659,test,1.0
660,test,1.0
661,test,1.0
662,test,1.0
663,test,0.4
664,test,0.6
665,test,1.0
666,test,0.59
667,test,1.0
668,test,1.0
669,test,0.98
670,test,1.0
671,test,1.0
672,test,1.0
673,test,1.0
674,test,0.98
675,test,1.0
676,test,0.88
677,test,0.59
678,test,0.94
679,test,1.0
680,test,0.59
681,test,0.9
682,test,1.0
683,test,0.79
684,test,1.0
685,test,1.0
686,test,1.0
687,test,0.81
688,test,0.69
689,test,1.0
690,test,0.89
691,test,1.0
692,test,1.0
693,test,0.75
694,test,0.64
695,test,0.95
696,test,0.55
697,test,1.0
698,test,0.47
699,test,1.0
700,test,1.0
701,test,0.95
702,test,1.0
703,test,1.0
704,test,0.89
705,test,1.0
706,test,0.81
707,test,1.0
708,test,1.0
709,test,0.73
710,test,0.87
711,test,1.0
712,test,1.0
713,test,0.62
714,test,1.0
715,test,0.69
716,test,1.0
717,test,0.71
718,test,1.0
719,test,1.0
720,test,1.0
721,test,0.99
722,test,0.94
723,test,1.0
724,test,1.0
725,test,1.0
726,test,1.0
727,test,1.0
728,test,0.83
729,test,1.0
730,test,1.0
731,test,0.76
732,test,1.0
733,test,0.64
734,test,1.0
735,test,0.0
736,test,1.0
737,test,1.0
738,test,0.15
739,test,0.9
740,test,1.0
741,test,0.83
742,test,1.0
743,test,1.0
744,test,0.96
745,test,0.49
746,test,1.0
747,test,1.0
748,test,1.0
749,test,1.0
750,test,1.0
751,test,0.92
752,test,0.9
753,test,0.85
754,test,1.0
755,test,1.0
756,test,1.0
757,test,1.0
758,test,0.99
759,test,1.0
760,test,1.0
761,test,1.0
762,test,0.98
763,test,1.0
764,test,0.98
765,test,0.6
766,test,0.83
767,test,1.0
768,test,0.93
769,test,0.57
770,test,1.0
771,test,1.0
772,test,1.0
773,test,0.99
774,test,0.73
775,test,1.0
776,test,0.87
777,test,1.0
778,test,0.75
779,test,0.95
780,test,1.0
781,test,1.0
782,test,0.56
783,test,0.66
784,test,0.92
785,test,0.9
786,test,0.92
787,test,1.0
788,test,1.0
789,test,0.82
790,test,0.85
791,test,1.0
792,test,0.91
793,test,1.0
794,test,0.9
795,test,1.0
796,test,1.0
797,test,0.93
798,test,1.0
799,test,0.9
800,test,0.78
