component,param,ESS_min,ESS_mean,ESS_max,|Geweke|_max,Rhat,converge
9,pijout,33.42606160968497,70.37925489756005,135.51300860702193,3.8854578538287012,1.0462424553361216,False
10,muout,23.512386504965697,75.55757066292306,107.61761196033872,5.508531457475728,1.0081881337120018,False
10,N1out,5.757741333968481,63.91075436267645,106.01788806159566,11.091246449396305,1.0677367080330211,False
10,Nout,1500.0,1500.0,1500.0,,,False
10,beta0hout,1500.0,1500.0,1500.0,1.196785338662041,1.0001347387481099,True
10,tauhout,10.34636912628024,275.6273020562594,510.32107721095235,7.5760871994580015,1.0377341870360441,False
10,alphahout,12.687836527753612,61.957656798784456,86.81809378479025,6.600020959015546,1.009681806867387,False
10,pijout,34.455265568048006,147.10109981475492,232.51659005721973,3.9155265938170962,1.0187703410822728,False
11,muout,33.35020109213009,50.95553940937419,73.42991909533438,1.1881928286186805,1.0010392153829404,False
11,N1out,30.182041859396886,54.61360669891857,102.69036514911598,3.832735157888478,1.0036075877156345,False
11,Nout,1500.0,1500.0,1500.0,,,False
11,beta0hout,737.4828425517234,1245.8276141839078,1500.0,0.40397643228301744,0.9998092849139789,True
11,tauhout,366.1153692400029,388.88860709742966,424.8870322593453,2.7326602721753384,1.0000358479263742,False
11,alphahout,29.732356369477447,44.89497230555804,64.76146327169558,1.3067421772674872,1.0014144375182372,False
11,pijout,118.82083123988508,172.44997533420238,199.9954613676766,0.5868014223283466,1.0022244492075243,True
12,muout,41.67093175615199,80.71423194807188,109.64136791056069,1.0621340459606956,1.0307549765709754,False
12,N1out,33.6175671810902,56.40992182639959,99.16881295080991,2.1165519697793003,1.0686812412341364,False
12,Nout,1500.0,1500.0,1500.0,,,False
12,beta0hout,591.6535125322221,1197.2178375107408,1500.0,0.974346183923569,1.0003738348269393,True
12,tauhout,299.4355122963199,397.30171832342074,528.381602331488,1.8179139534411675,1.0007982362760026,True
12,alphahout,34.56743454880693,66.81478615533473,100.89973401803438,0.8770422385025001,1.0404391965465827,False
12,pijout,156.9935541613572,182.28914878574605,206.0399466133044,1.1867295632992318,1.017909730034575,True
