t,bloque,I_t_puntual,I_t_simultaneo
108,train,0.7066666666666667,0.0
109,train,1.0,1.0
110,train,1.0,1.0
111,train,1.0,1.0
112,train,0.7333333333333333,0.0
113,train,1.0,1.0
114,train,0.9333333333333333,0.0
115,train,0.9866666666666667,0.0
116,train,1.0,1.0
117,train,1.0,1.0
118,train,0.8666666666666667,0.0
119,train,1.0,1.0
120,train,1.0,1.0
121,train,0.7866666666666666,0.0
122,train,1.0,1.0
123,train,0.92,0.0
124,train,0.9733333333333334,0.0
125,train,0.8,0.0
126,train,0.8133333333333334,0.0
127,train,0.9866666666666667,0.0
128,train,0.8266666666666667,0.0
129,train,1.0,1.0
130,train,0.8266666666666667,0.0
131,train,1.0,1.0
132,train,0.8533333333333334,0.0
133,train,1.0,1.0
134,train,0.8533333333333334,0.0
135,train,0.9866666666666667,0.0
136,train,1.0,1.0
137,train,0.8933333333333333,0.0
138,train,0.92,0.0
139,train,0.9866666666666667,0.0
140,train,0.8933333333333333,0.0
141,train,0.9066666666666666,0.0
142,train,0.9333333333333333,0.0
143,train,0.96,0.0
144,train,0.8266666666666667,0.0
145,train,0.88,0.0
146,train,1.0,1.0
147,train,0.92,0.0
148,train,1.0,1.0
149,train,1.0,1.0
150,train,0.88,0.0
151,train,0.84,0.0
152,train,1.0,1.0
153,train,1.0,1.0
154,train,0.88,0.0
155,train,1.0,1.0
156,train,1.0,1.0
157,train,0.8933333333333333,0.0
158,train,0.9466666666666667,0.0
159,train,1.0,1.0
160,train,0.9466666666666667,0.0
161,train,0.9066666666666666,0.0
162,train,0.9333333333333333,0.0
163,train,0.8666666666666667,0.0
164,train,0.8,0.0
165,train,1.0,1.0
166,train,1.0,1.0
167,train,0.96,0.0
168,train,0.8133333333333334,0.0
169,train,0.9466666666666667,0.0
170,train,1.0,1.0
171,train,0.8533333333333334,0.0
172,train,0.9066666666666666,0.0
173,train,0.96,0.0
174,train,0.9866666666666667,0.0
175,train,1.0,1.0
176,train,1.0,1.0
177,train,1.0,1.0
178,train,0.9866666666666667,0.0
179,train,0.96,0.0
180,train,0.8533333333333334,0.0
181,train,0.8266666666666667,0.0
182,train,0.7333333333333333,0.0
183,train,1.0,1.0
184,train,1.0,1.0
185,train,0.9333333333333333,0.0
186,train,0.9333333333333333,0.0
187,train,1.0,1.0
188,train,0.9333333333333333,0.0
189,train,0.8533333333333334,0.0
190,train,1.0,1.0
191,train,0.8666666666666667,0.0
192,train,0.8933333333333333,0.0
193,train,0.8,0.0
194,train,1.0,1.0
195,train,0.8,0.0
196,train,0.9333333333333333,0.0
197,train,0.9066666666666666,0.0
198,train,1.0,1.0
199,train,0.8266666666666667,0.0
200,train,1.0,1.0
201,train,0.9466666666666667,0.0
202,train,0.9733333333333334,0.0
203,train,1.0,1.0
204,train,1.0,1.0
205,train,0.9066666666666666,0.0
206,train,1.0,1.0
207,train,0.9333333333333333,0.0
208,train,0.9066666666666666,0.0
209,train,0.7866666666666666,0.0
210,train,0.92,0.0
211,train,0.9333333333333333,0.0
212,train,0.8133333333333334,0.0
213,train,1.0,1.0
214,train,0.8666666666666667,0.0
215,train,1.0,1.0
216,train,0.9733333333333334,0.0
217,train,0.8933333333333333,0.0
218,train,1.0,1.0
219,train,0.9866666666666667,0.0
220,train,1.0,1.0
221,train,0.8666666666666667,0.0
222,train,0.96,0.0
223,train,1.0,1.0
224,train,0.9866666666666667,0.0
225,train,0.8933333333333333,0.0
226,train,0.84,0.0
227,train,0.8666666666666667,0.0
228,train,0.76,0.0
229,train,0.9733333333333334,0.0
230,train,1.0,1.0
231,train,1.0,1.0
232,train,0.9333333333333333,0.0
233,train,0.9333333333333333,0.0
234,train,0.8133333333333334,0.0
235,train,0.6933333333333334,0.0
236,train,1.0,1.0
237,train,0.9733333333333334,0.0
238,train,1.0,1.0
239,train,0.7733333333333333,0.0
240,train,1.0,1.0
241,train,0.9466666666666667,0.0
242,train,1.0,1.0
243,train,0.9466666666666667,0.0
244,train,1.0,1.0
245,train,1.0,1.0
246,train,1.0,1.0
247,train,0.8666666666666667,0.0
248,train,0.8933333333333333,0.0
249,train,1.0,1.0
250,train,1.0,1.0
251,train,0.9733333333333334,0.0
252,train,1.0,1.0
253,train,1.0,1.0
254,train,0.9866666666666667,0.0
255,train,0.8666666666666667,0.0
256,train,0.9466666666666667,0.0
257,train,0.8933333333333333,0.0
258,train,1.0,1.0
259,train,0.9333333333333333,0.0
260,train,1.0,1.0
261,train,0.9866666666666667,0.0
262,train,0.8133333333333334,0.0
263,train,0.9333333333333333,0.0
264,train,0.9333333333333333,0.0
265,train,0.8266666666666667,0.0
266,train,1.0,1.0
267,train,1.0,1.0
268,train,0.9333333333333333,0.0
269,train,0.8266666666666667,0.0
270,train,1.0,1.0
271,train,0.96,0.0
272,train,0.9733333333333334,0.0
273,train,0.8533333333333334,0.0
274,train,0.9733333333333334,0.0
275,train,0.9733333333333334,0.0
276,train,0.9066666666666666,0.0
277,train,1.0,1.0
278,train,0.6533333333333333,0.0
279,train,0.9333333333333333,0.0
280,train,0.9466666666666667,0.0
281,train,0.6,0.0
282,train,1.0,1.0
283,train,0.88,0.0
284,train,1.0,1.0
285,train,1.0,1.0
286,train,0.8533333333333334,0.0
287,train,0.9466666666666667,0.0
288,train,1.0,1.0
289,train,1.0,1.0
290,train,0.9466666666666667,0.0
291,train,0.96,0.0
292,train,1.0,1.0
293,train,0.92,0.0
294,train,1.0,1.0
295,train,1.0,1.0
296,train,0.9866666666666667,0.0
297,train,1.0,1.0
298,train,0.96,0.0
299,train,0.88,0.0
300,train,1.0,1.0
301,train,0.8933333333333333,0.0
302,train,0.92,0.0
303,train,1.0,1.0
304,train,1.0,1.0
305,train,0.92,0.0
306,train,0.7466666666666667,0.0
307,train,0.9866666666666667,0.0
308,train,0.9866666666666667,0.0
309,train,0.9466666666666667,0.0
310,train,0.96,0.0
311,train,1.0,1.0
312,train,0.9466666666666667,0.0
313,train,0.8666666666666667,0.0
314,train,1.0,1.0
315,train,0.92,0.0
316,train,1.0,1.0
317,train,0.8266666666666667,0.0
318,train,1.0,1.0
319,train,1.0,1.0
320,train,0.9466666666666667,0.0
321,train,0.84,0.0
322,train,0.88,0.0
323,train,1.0,1.0
324,train,0.8666666666666667,0.0
325,train,0.9466666666666667,0.0
326,train,0.6266666666666667,0.0
327,train,0.9066666666666666,0.0
328,train,1.0,1.0
329,train,0.92,0.0
330,train,0.92,0.0
331,train,1.0,1.0
332,train,0.9733333333333334,0.0
333,train,0.8133333333333334,0.0
334,train,0.9466666666666667,0.0
335,train,1.0,1.0
336,train,0.8266666666666667,0.0
337,train,0.92,0.0
338,train,1.0,1.0
339,train,1.0,1.0
340,train,1.0,1.0
341,train,1.0,1.0
342,train,0.88,0.0
343,train,0.9733333333333334,0.0
344,train,1.0,1.0
345,train,1.0,1.0
346,train,1.0,1.0
347,train,0.9866666666666667,0.0
348,train,0.9466666666666667,0.0
349,train,0.92,0.0
350,train,1.0,1.0
351,train,1.0,1.0
352,train,0.8933333333333333,0.0
353,train,1.0,1.0
354,train,0.9333333333333333,0.0
355,train,0.9466666666666667,0.0
356,train,0.9333333333333333,0.0
357,train,0.9333333333333333,0.0
358,train,0.84,0.0
359,train,0.9466666666666667,0.0
360,train,0.9066666666666666,0.0
361,train,1.0,1.0
362,train,0.92,0.0
363,train,1.0,1.0
364,train,1.0,1.0
365,train,1.0,1.0
366,train,0.8,0.0
367,train,0.8,0.0
368,train,0.8133333333333334,0.0
369,train,0.8666666666666667,0.0
370,train,0.72,0.0
371,train,1.0,1.0
372,train,1.0,1.0
373,train,0.9733333333333334,0.0
374,train,1.0,1.0
375,train,0.9866666666666667,0.0
376,train,0.8533333333333334,0.0
377,train,0.88,0.0
378,train,1.0,1.0
379,train,1.0,1.0
380,train,1.0,1.0
381,train,0.9066666666666666,0.0
382,train,1.0,1.0
383,train,1.0,1.0
384,train,0.8133333333333334,0.0
385,train,0.8933333333333333,0.0
386,train,0.96,0.0
387,train,0.9866666666666667,0.0
388,train,0.9466666666666667,0.0
389,train,0.8266666666666667,0.0
390,train,0.8933333333333333,0.0
391,train,1.0,1.0
392,train,0.7333333333333333,0.0
393,train,0.96,0.0
394,train,0.8533333333333334,0.0
395,train,0.8266666666666667,0.0
396,train,0.6533333333333333,0.0
397,train,1.0,1.0
398,train,1.0,1.0
399,train,0.8533333333333334,0.0
400,train,0.8133333333333334,0.0
401,train,1.0,1.0
402,train,0.8533333333333334,0.0
403,train,1.0,1.0
404,train,1.0,1.0
405,train,0.8133333333333334,0.0
406,train,1.0,1.0
407,train,0.8933333333333333,0.0
408,train,1.0,1.0
409,train,0.96,0.0
410,train,1.0,1.0
411,train,0.8266666666666667,0.0
412,train,0.8933333333333333,0.0
413,train,1.0,1.0
414,train,0.9333333333333333,0.0
415,train,1.0,1.0
416,train,1.0,1.0
417,train,1.0,1.0
418,train,1.0,1.0
419,train,0.9066666666666666,0.0
420,train,0.9866666666666667,0.0
421,train,1.0,1.0
422,train,1.0,1.0
423,train,0.9466666666666667,0.0
424,train,1.0,1.0
425,train,0.96,0.0
426,train,1.0,1.0
427,train,1.0,1.0
428,train,0.9333333333333333,0.0
429,train,0.9333333333333333,0.0
430,train,0.72,0.0
431,train,0.7866666666666666,0.0
432,train,1.0,1.0
433,train,1.0,1.0
434,train,0.9466666666666667,0.0
435,train,1.0,1.0
436,train,0.9866666666666667,0.0
437,train,0.8666666666666667,0.0
438,train,0.9466666666666667,0.0
439,train,1.0,1.0
440,train,1.0,1.0
441,train,1.0,1.0
442,train,0.8533333333333334,0.0
443,train,0.7866666666666666,0.0
444,train,0.9733333333333334,0.0
445,train,0.8,0.0
446,train,0.9466666666666667,0.0
447,train,0.9866666666666667,0.0
448,train,0.9733333333333334,0.0
449,train,0.8933333333333333,0.0
450,train,1.0,1.0
451,train,0.6666666666666666,0.0
452,train,1.0,1.0
453,train,0.8933333333333333,0.0
454,train,0.8933333333333333,0.0
455,train,0.8266666666666667,0.0
456,train,0.92,0.0
457,train,0.8133333333333334,0.0
458,train,0.9866666666666667,0.0
459,train,1.0,1.0
460,train,0.68,0.0
461,train,0.9733333333333334,0.0
462,train,1.0,1.0
463,train,0.9866666666666667,0.0
464,train,1.0,1.0
465,train,0.8933333333333333,0.0
466,train,0.92,0.0
467,train,0.8933333333333333,0.0
468,train,0.9333333333333333,0.0
469,train,0.7466666666666667,0.0
470,train,0.9866666666666667,0.0
471,train,1.0,1.0
472,train,1.0,1.0
473,train,1.0,1.0
474,train,0.84,0.0
475,train,1.0,1.0
476,train,0.6666666666666666,0.0
477,train,0.9866666666666667,0.0
478,train,0.9333333333333333,0.0
479,train,1.0,1.0
480,train,0.9466666666666667,0.0
481,train,1.0,1.0
482,train,0.84,0.0
483,train,0.9733333333333334,0.0
484,train,0.9466666666666667,0.0
485,train,0.6266666666666667,0.0
486,train,1.0,1.0
487,train,0.76,0.0
488,train,0.8666666666666667,0.0
489,train,1.0,1.0
490,train,0.76,0.0
491,train,1.0,1.0
492,train,1.0,1.0
493,train,0.6933333333333334,0.0
494,train,1.0,1.0
495,train,0.96,0.0
496,train,0.8666666666666667,0.0
497,train,0.9866666666666667,0.0
498,train,0.9066666666666666,0.0
499,train,1.0,1.0
500,train,0.9866666666666667,0.0
501,train,1.0,1.0
502,train,0.9466666666666667,0.0
503,train,1.0,1.0
504,train,0.96,0.0
505,train,0.7333333333333333,0.0
506,train,0.8266666666666667,0.0
507,train,0.9066666666666666,0.0
508,train,1.0,1.0
509,train,1.0,1.0
510,train,0.88,0.0
511,train,0.9733333333333334,0.0
512,train,1.0,1.0
513,train,0.92,0.0
514,train,0.8,0.0
515,train,1.0,1.0
516,train,0.8266666666666667,0.0
517,train,0.9866666666666667,0.0
518,train,0.84,0.0
519,train,0.9866666666666667,0.0
520,train,0.9066666666666666,0.0
521,train,0.7333333333333333,0.0
522,train,0.9866666666666667,0.0
523,train,0.9333333333333333,0.0
524,train,1.0,1.0
525,train,0.7333333333333333,0.0
526,train,1.0,1.0
527,train,0.96,0.0
528,train,0.7866666666666666,0.0
529,train,1.0,1.0
530,train,0.72,0.0
531,train,1.0,1.0
532,train,1.0,1.0
533,train,1.0,1.0
534,train,0.9733333333333334,0.0
535,train,0.5866666666666667,0.0
536,train,0.8133333333333334,0.0
537,train,0.9866666666666667,0.0
538,train,0.8933333333333333,0.0
539,train,1.0,1.0
540,train,0.84,0.0
541,train,0.9866666666666667,0.0
542,train,1.0,1.0
543,train,0.9866666666666667,0.0
544,train,0.76,0.0
545,train,0.8666666666666667,0.0
546,train,1.0,1.0
547,train,1.0,1.0
548,train,1.0,1.0
549,train,1.0,1.0
550,train,0.9333333333333333,0.0
551,train,0.8666666666666667,0.0
552,train,0.8933333333333333,0.0
553,train,1.0,1.0
554,train,1.0,1.0
555,train,0.9733333333333334,0.0
556,train,0.7866666666666666,0.0
557,train,0.9066666666666666,0.0
558,train,0.9066666666666666,0.0
559,train,1.0,1.0
560,train,1.0,1.0
561,train,0.8533333333333334,0.0
562,train,1.0,1.0
563,train,1.0,1.0
564,train,0.8533333333333334,0.0
565,train,1.0,1.0
566,train,1.0,1.0
567,train,0.88,0.0
568,train,0.88,0.0
569,train,0.8533333333333334,0.0
570,train,0.92,0.0
571,train,1.0,1.0
572,train,0.8533333333333334,0.0
573,train,1.0,1.0
574,train,0.9333333333333333,0.0
575,train,0.92,0.0
576,train,1.0,1.0
577,train,0.9066666666666666,0.0
578,train,0.8266666666666667,0.0
579,train,1.0,1.0
580,train,1.0,1.0
581,train,1.0,1.0
582,train,0.9466666666666667,0.0
583,train,0.9066666666666666,0.0
584,train,0.9866666666666667,0.0
585,train,1.0,1.0
586,train,1.0,1.0
587,train,1.0,1.0
588,train,0.96,0.0
589,train,1.0,1.0
590,train,0.88,0.0
591,train,1.0,1.0
592,train,0.8,0.0
593,train,1.0,1.0
594,train,1.0,1.0
595,train,1.0,1.0
596,train,0.7866666666666666,0.0
597,train,0.9333333333333333,0.0
598,train,0.7333333333333333,0.0
599,train,1.0,1.0
600,train,0.9466666666666667,0.0
601,train,1.0,1.0
602,train,0.8933333333333333,0.0
603,train,0.88,0.0
604,train,1.0,1.0
605,train,1.0,1.0
606,train,1.0,1.0
607,train,1.0,1.0
608,train,1.0,1.0
609,train,0.9066666666666666,0.0
610,train,1.0,1.0
611,train,1.0,1.0
612,train,1.0,1.0
613,train,0.9466666666666667,0.0
614,train,0.7866666666666666,0.0
615,train,1.0,1.0
616,train,0.6933333333333334,0.0
617,train,0.88,0.0
618,train,0.76,0.0
619,train,0.92,0.0
620,train,0.8533333333333334,0.0
621,train,0.84,0.0
622,train,0.8133333333333334,0.0
623,train,0.7733333333333333,0.0
624,train,1.0,1.0
625,train,0.9733333333333334,0.0
626,train,0.8666666666666667,0.0
627,train,0.9866666666666667,0.0
628,train,0.96,0.0
629,train,0.72,0.0
630,train,0.9466666666666667,0.0
631,train,0.92,0.0
632,train,1.0,1.0
633,train,0.9733333333333334,0.0
634,train,1.0,1.0
635,train,1.0,1.0
636,train,0.9733333333333334,0.0
637,train,1.0,1.0
638,train,0.92,0.0
639,train,0.92,0.0
640,train,1.0,1.0
641,train,0.96,0.0
642,train,1.0,1.0
643,train,0.7733333333333333,0.0
644,train,1.0,1.0
645,train,0.6533333333333333,0.0
646,train,0.9866666666666667,0.0
647,train,1.0,1.0
648,train,0.8533333333333334,0.0
649,train,1.0,1.0
650,train,1.0,1.0
651,train,0.8666666666666667,0.0
652,train,0.7066666666666667,0.0
653,train,1.0,1.0
654,train,1.0,1.0
655,train,0.9866666666666667,0.0
656,train,0.8666666666666667,0.0
657,train,0.9066666666666666,0.0
658,train,0.92,0.0
659,train,1.0,1.0
660,train,0.8533333333333334,0.0
661,train,0.96,0.0
662,train,0.8933333333333333,0.0
663,train,0.8533333333333334,0.0
664,train,1.0,1.0
665,train,0.8266666666666667,0.0
666,train,0.5333333333333333,0.0
667,train,1.0,1.0
668,train,1.0,1.0
669,train,1.0,1.0
670,train,1.0,1.0
671,train,0.9866666666666667,0.0
672,train,1.0,1.0
673,train,0.9733333333333334,0.0
674,train,0.9333333333333333,0.0
675,train,0.96,0.0
676,train,0.8533333333333334,0.0
677,train,0.9466666666666667,0.0
678,train,0.92,0.0
679,train,0.8666666666666667,0.0
680,train,1.0,1.0
681,train,1.0,1.0
682,train,0.92,0.0
683,train,1.0,1.0
684,train,0.7733333333333333,0.0
685,train,0.5733333333333334,0.0
686,train,0.9866666666666667,0.0
687,train,1.0,1.0
688,train,0.88,0.0
689,train,1.0,1.0
690,train,1.0,1.0
691,train,0.8533333333333334,0.0
692,train,0.8266666666666667,0.0
693,train,0.96,0.0
694,train,0.9866666666666667,0.0
695,train,0.7333333333333333,0.0
696,train,0.8,0.0
697,train,1.0,1.0
698,train,0.9733333333333334,0.0
699,train,0.9333333333333333,0.0
700,train,0.8,0.0
701,test,1.0,1.0
702,test,0.7866666666666666,0.0
703,test,0.8666666666666667,0.0
704,test,0.6933333333333334,0.0
705,test,0.7466666666666667,0.0
706,test,0.8533333333333334,0.0
707,test,0.9733333333333334,0.0
708,test,0.9466666666666667,0.0
709,test,0.8666666666666667,0.0
710,test,0.84,0.0
711,test,1.0,1.0
712,test,0.8266666666666667,0.0
713,test,0.9333333333333333,0.0
714,test,1.0,1.0
715,test,0.9466666666666667,0.0
716,test,1.0,1.0
717,test,0.9466666666666667,0.0
718,test,0.92,0.0
719,test,1.0,1.0
720,test,0.9466666666666667,0.0
721,test,1.0,1.0
722,test,0.7466666666666667,0.0
723,test,0.9733333333333334,0.0
724,test,0.8666666666666667,0.0
725,test,0.9066666666666666,0.0
726,test,0.76,0.0
727,test,0.9733333333333334,0.0
728,test,0.84,0.0
729,test,0.84,0.0
730,test,0.9733333333333334,0.0
731,test,0.9866666666666667,0.0
732,test,1.0,1.0
733,test,0.84,0.0
734,test,0.8,0.0
735,test,1.0,1.0
736,test,0.9733333333333334,0.0
737,test,0.9866666666666667,0.0
738,test,0.7466666666666667,0.0
739,test,1.0,1.0
740,test,1.0,1.0
741,test,1.0,1.0
742,test,1.0,1.0
743,test,0.9466666666666667,0.0
744,test,1.0,1.0
745,test,0.96,0.0
746,test,1.0,1.0
747,test,1.0,1.0
748,test,0.8133333333333334,0.0
749,test,0.9066666666666666,0.0
750,test,0.88,0.0
751,test,1.0,1.0
752,test,0.92,0.0
753,test,0.9066666666666666,0.0
754,test,0.9466666666666667,0.0
755,test,0.7066666666666667,0.0
756,test,1.0,1.0
757,test,0.92,0.0
758,test,0.7733333333333333,0.0
759,test,1.0,1.0
760,test,0.9466666666666667,0.0
761,test,0.96,0.0
