t,regimen,p_regimen_0,z_lag,ambiguedad,ambiguo,b_t,sep_dinamica,sep_tendencia,separacion,sep_en_sd,bimodal,nivel_curva,bloque
103,1,0.3195018190917084,0.11727308356949866,0.3195018190917084,1,1.5338345864661653,0.38340117905048643,1.150375939849624,1.5337771189001104,1.5337771189001104,1,0.4637786341238525,train
104,0,0.9759502308120466,-0.4941219892814187,0.02404976918795343,0,1.5488721804511276,0.3440112072023727,1.1616541353383458,1.5056653425407185,1.5056653425407185,0,2.9889991356547596,train
105,0,0.9776774445788526,-0.501995720253844,0.02232255542114736,0,1.5639097744360901,1.8056636787110114,1.1729323308270676,2.9785960095380792,2.9785960095380792,0,1.1560767065193593,train
106,0,0.7658839032439454,-0.18133959731870905,0.2341160967560546,0,1.5789473684210527,0.5250272336364672,1.1842105263157894,1.7092377599522566,1.7092377599522566,0,1.488271203583164,train
107,0,0.9303339054449894,-0.36957061624845666,0.0696660945550106,0,1.593984962406015,0.29941769136017543,1.1954887218045112,1.4949064131646865,1.4949064131646865,0,1.4800136108948487,train
108,1,0.7789071955137358,-0.19212692873522508,0.22109280448626423,0,1.6090225563909772,0.161130476082027,1.206766917293233,1.3678973933752598,1.3678973933752598,0,-0.08980033989057935,train
109,1,0.07705103351459974,0.35629768960048436,0.07705103351459974,0,1.6240601503759398,0.6927547885992305,1.218045112781955,1.9107999013811854,1.9107999013811854,0,1.2886406732880338,train
110,0,0.9855532530460216,-0.5462341553743225,0.014446746953978407,0,1.6390977443609023,1.2075725015170362,1.2293233082706767,2.436895809787713,2.436895809787713,0,3.689915778533059,train
111,0,0.7402794565720678,-0.1610517983731677,0.25972054342793216,1,1.6541353383458646,2.607643296023189,1.2406015037593985,3.8482447997825875,3.8482447997825875,1,2.1796196657359754,train
112,1,0.5716875341423813,-0.045168033795981534,0.42831246585761873,1,1.6691729323308269,0.665110496783616,1.25187969924812,1.916990196031736,1.916990196031736,1,-0.14380389924012135,train
113,1,0.007965612113485303,0.6026218349559063,0.007965612113485288,0,1.6842105263157894,0.847747295222225,1.263157894736842,2.110905189959067,2.110905189959067,0,1.2488247397454177,train
114,0,0.9798087091411841,-0.5124535081576541,0.02019129085881588,0,1.699248120300752,1.174310570999962,1.274436090225564,2.4487466612255258,2.4487466612255258,0,1.910862869752631,train
115,0,0.8963975282001898,-0.3153221106984553,0.10360247179981019,0,1.7142857142857142,0.2922964424233411,1.2857142857142856,1.5780107281376266,1.5780107281376266,0,0.866771441784836,train
116,0,0.7579050916404882,-0.1748949277980948,0.24209490835951175,0,1.7293233082706765,1.0393830131230342,1.2969924812030074,2.3363754943260417,2.3363754943260417,0,0.9736202435262894,train
117,1,0.28266962610189555,0.14373227357357576,0.28266962610189555,1,1.744360902255639,0.8922962964245421,1.3082706766917291,2.2005669731162714,2.2005669731162714,1,1.685336303452342,train
118,1,0.06231284592300095,0.3839110251405168,0.06231284592300096,0,1.7593984962406015,1.5619857320088983,1.3195488721804511,2.8815346041893495,2.8815346041893495,0,-2.57760650742117,train
119,1,0.03595027565439519,0.44993682088977466,0.03595027565439518,0,1.7744360902255638,3.816543745965413,1.330827067669173,5.147370813634586,5.147370813634586,0,0.7527642875603,train
