M,metrica,columna,bloque,banda,pct_ventanas_ganadas,n_ventanas,criterio
3,9. Winkler max promedio,winkler_max_medio,test,PSBPM-FD (predictiva bayesiana),0.0,271,menor es mejor
3,10. Winkler max peor ventana,winkler_max_glob,train,FAR (IC del modelo AR),0.5142428785607196,667,menor es mejor
3,10. Winkler max peor ventana,winkler_max_glob,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.48575712143928035,667,menor es mejor
3,10. Winkler max peor ventana,winkler_max_glob,train,PSBPM-FD (predictiva bayesiana),0.0,667,menor es mejor
3,10. Winkler max peor ventana,winkler_max_glob,test,FAR (IC del modelo AR),0.34686346863468637,271,menor es mejor
3,10. Winkler max peor ventana,winkler_max_glob,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.6531365313653137,271,menor es mejor
3,10. Winkler max peor ventana,winkler_max_glob,test,PSBPM-FD (predictiva bayesiana),0.0,271,menor es mejor
4,5. MPIW,mpiw,train,FAR (IC del modelo AR),0.0,667,menor es mejor
4,5. MPIW,mpiw,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.0,667,menor es mejor
4,5. MPIW,mpiw,train,PSBPM-FD (predictiva bayesiana),1.0,667,menor es mejor
4,5. MPIW,mpiw,test,FAR (IC del modelo AR),0.0,271,menor es mejor
4,5. MPIW,mpiw,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.0,271,menor es mejor
4,5. MPIW,mpiw,test,PSBPM-FD (predictiva bayesiana),1.0,271,menor es mejor
4,6. PICP puntual,picp,train,FAR (IC del modelo AR),0.4122938530734633,667,|valor - nominal|
4,6. PICP puntual,picp,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.4032983508245877,667,|valor - nominal|
4,6. PICP puntual,picp,train,PSBPM-FD (predictiva bayesiana),0.18440779610194902,667,|valor - nominal|
4,6. PICP puntual,picp,test,FAR (IC del modelo AR),0.4870848708487085,271,|valor - nominal|
4,6. PICP puntual,picp,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.4059040590405904,271,|valor - nominal|
4,6. PICP puntual,picp,test,PSBPM-FD (predictiva bayesiana),0.1070110701107011,271,|valor - nominal|
4,7. PICPB curva completa,picp_simultaneo,train,FAR (IC del modelo AR),0.6656671664167916,667,|valor - nominal|
4,7. PICPB curva completa,picp_simultaneo,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.3343328335832084,667,|valor - nominal|
4,7. PICPB curva completa,picp_simultaneo,train,PSBPM-FD (predictiva bayesiana),0.0,667,|valor - nominal|
4,7. PICPB curva completa,picp_simultaneo,test,FAR (IC del modelo AR),0.6457564575645757,271,|valor - nominal|
