t,quiebre,quiebre_idx,en_adaptacion,nivel_curva,energia_curva,a_fourier_1,a_fourier_2
114,1,0,False,-0.4433662372499022,2.3867704491948465,-0.44336623724990226,0.5934922356470617
115,1,0,False,-0.22875700049874625,1.3789056993414994,-0.22875700049874628,0.16087687756498958
116,1,0,False,0.7575441637480422,0.8394786910781854,0.7575441637480422,-0.7304707832619826
117,1,0,False,0.37647781501999844,1.9660942136179915,0.37647781501999833,0.30209848025511077
118,1,0,False,0.40504643653724676,0.9240114868997219,0.4050464365372468,-0.38727070675386477
119,1,0,False,-1.2768268217853467,3.3542379074148516,-1.2768268217853465,0.26092394768057153
120,1,0,False,-0.6649040419823025,3.891111969797508,-0.6649040419823024,0.570351484546504
121,1,0,False,0.3826847340614802,6.677946036836533,0.3826847340614801,1.6105273024941658
122,1,0,False,1.5920394021491482,9.642738654097911,1.592039402149148,1.6827542970205709
123,1,0,False,1.1018992185313092,10.593900775376532,1.1018992185313092,2.2417451230644025
124,1,0,False,0.17067941075409082,4.980062731885197,0.17067941075409077,1.4767202817027447
125,1,0,False,0.7346720870404816,6.214239236158424,0.7346720870404815,1.6271572267246581
126,1,0,False,1.0884532069036192,6.519325319067802,1.088453206903619,1.457874577732073
127,1,0,False,1.0431077165633438,7.860841209652288,1.0431077165633436,1.7269937326779503
128,1,0,False,2.169308565912001,7.625884367504128,2.169308565912001,0.8157688281854467
129,1,0,False,1.6672569946843891,4.422096970078832,1.6672569946843891,0.4317753549108938
130,1,0,False,0.9244615043971655,3.197802663112832,0.9244615043971655,0.6807596782287355
131,1,0,False,0.7294545377630092,4.459944618076715,0.7294545377630092,1.2128407604117648
132,1,0,False,0.3971858774826406,2.146370146709423,0.39718587748264056,0.329438645834105
133,1,0,False,0.06915503566595702,1.225222179701233,0.06915503566595704,-1.0919530583429526
134,1,0,False,0.44288149312808545,0.6048132833534583,0.44288149312808545,-1.1641034600103197
135,1,0,False,-0.17712752361636053,0.21808205308281922,-0.17712752361636047,-0.4879506148054603
136,1,0,False,-0.11286093381100692,0.6594480991367491,-0.11286093381100695,-0.6610651095899571
137,1,0,False,1.1264008629911095,1.61898901954603,1.1264008629911095,-0.5346151944280213
138,1,0,False,-0.16662781583438835,0.5624474249771035,-0.16662781583438835,-0.6479529661940155
139,1,0,False,-1.0480030774196203,1.6229621207851246,-1.0480030774196205,-0.1772556138494128
140,1,0,False,0.33917298959761366,0.4152351859113473,0.33917298959761366,-0.530747501887729
141,1,0,False,1.1940522257046275,2.7143646692412005,1.1940522257046275,-0.1054540216688073
142,1,0,False,1.1055823426711433,1.8928388208408682,1.1055823426711435,-0.1291788790796348
143,1,0,False,0.3890974468949964,1.114937064805506,0.3890974468949964,0.08040159523120399
144,1,0,False,-0.5481054317372316,0.5712323957641333,-0.5481054317372316,-0.6690539303653331
145,1,0,False,-2.2123021837474877,5.319009260407305,-2.2123021837474877,-1.1510598103138145
146,1,0,False,-2.105458661142018,5.255038254085703,-2.105458661142018,-0.17712481951553383
147,1,0,False,-1.6294484199119434,5.065059659659155,-1.6294484199119437,0.19147717266572448
148,1,0,False,-1.5400482398527342,4.746578829559527,-1.5400482398527342,-0.35236030099023147
149,1,0,False,0.6904418680539607,1.133774085598907,0.6904418680539608,-0.4694986422162726
150,1,0,False,0.1319052801762477,0.5069901554231302,0.1319052801762477,-0.38757808010367645
151,1,0,False,0.2691513678862623,1.3744895646142306,0.2691513678862623,0.33936855521636244
152,1,0,False,0.5839020537222245,2.588129308053272,0.5839020537222244,0.7461433485125303
153,1,0,False,-0.6070770285045859,5.587391417002464,-0.6070770285045859,1.51421749693435
154,1,0,False,-1.2143665607040641,3.43023884630656,-1.214366560704064,0.6657440129382487
155,1,0,False,-1.1771513366369648,1.8687117761430816,-1.1771513366369646,-0.16094246173946908
156,1,0,False,-0.914482086808293,1.4810445418744849,-0.9144820868082929,0.010544562959612702
157,1,0,False,-1.3410642437896112,2.0738216122985733,-1.3410642437896114,-0.8796202120863974
158,1,0,False,-1.7936804063819474,3.553227892932334,-1.7936804063819474,-0.5900886408759223
159,1,0,False,-1.3709348502476224,2.603260801682564,-1.3709348502476224,-0.75043205292262
160,1,0,False,-0.39579577426394574,0.5434157614741856,-0.39579577426394574,-0.8269591636538487
161,1,0,False,-0.9945642444894746,2.108767623630592,-0.9945642444894746,0.09044805349969731
162,1,0,False,-0.5331249324984219,1.1468742534029202,-0.533124932498422,-0.07745563819585492
163,1,0,False,-0.6998047907608601,1.231286223931916,-0.69980479076086,-1.2783960508012944
164,1,0,False,-1.7958650796917661,3.668546407223206,-1.7958650796917663,-0.8797869004948285
165,1,0,False,-1.1416651812712055,1.6877589889693383,-1.1416651812712055,-0.7787174327784123
166,1,0,False,-1.6753677617508558,3.1595366486695395,-1.6753677617508558,-1.1579122076938786
167,1,0,False,-2.2920681225239377,5.435829891139383,-2.2920681225239377,-0.5533566467884317
168,1,0,False,-1.2726290396747484,2.0894475487956696,-1.2726290396747486,-0.08447645900350786
169,1,0,False,-0.3555204678458146,0.2809296302091976,-0.3555204678458146,-0.6446705713589581
170,1,0,False,-0.889064301964252,1.2708799595461464,-0.889064301964252,-1.3362505858173657
171,1,0,False,0.15098154614515136,1.0492094902982987,0.15098154614515136,-0.8803454476275153
172,1,0,False,-0.31565294234472957,0.75239269106902,-0.3156529423447296,-0.27582010333868423
173,1,0,False,0.277015895921779,0.5621298654435738,0.277015895921779,-0.7690889229739171
174,1,0,False,-0.14025297414741592,1.1554043337845679,-0.14025297414741605,-0.4866070332543227
