M,metrica,columna,modelo,bloque,minimo,maximo,promedio
4,2. RMSE (L^2),rmse_f,GBT,train,0.005331935247034261,0.021622678931298173,0.011858828828729998
4,2. RMSE (L^2),rmse_f,PSBPM-FD,test,0.00477561940479783,0.02607238118122927,0.013956867901659354
4,2. RMSE (L^2),rmse_f,PSBPM-FD,train,0.006500471371469652,0.05463435417045605,0.018566527511482522
4,2. RMSE (L^2),rmse_f,RF,test,0.005075478683385783,0.0312170198353054,0.016913482887429408
4,2. RMSE (L^2),rmse_f,RF,train,0.007003016367231398,0.05774092856540814,0.01982417257682963
4,2. RMSE (L^2),rmse_f,media,test,0.006852540709488184,0.09221304233278926,0.04092089545716338
4,2. RMSE (L^2),rmse_f,media,train,0.012997663935491222,0.25458026504926995,0.08957776036951476
4,2. RMSE (L^2),rmse_f,persistencia,test,0.004327540019685961,0.034993654144213,0.015435293591252728
4,2. RMSE (L^2),rmse_f,persistencia,train,0.005433083430292877,0.05893013819801119,0.02062072385189012
4,3. E_max promedio por curva,linf_medio,(truncamiento FPCA),test,0.00887026708431946,0.04583139009995244,0.02540547686272972
4,3. E_max promedio por curva,linf_medio,(truncamiento FPCA),train,0.008559456224348427,0.05089830977370078,0.027970248660510014
4,3. E_max promedio por curva,linf_medio,FAR,test,0.011347329040477583,0.06430396435120568,0.0350496691390494
4,3. E_max promedio por curva,linf_medio,FAR,train,0.010612770866840737,0.10157414557979294,0.04039226002161212
4,3. E_max promedio por curva,linf_medio,GBT,test,0.014404881105503652,0.06645154386481428,0.03857482182025177
4,3. E_max promedio por curva,linf_medio,GBT,train,0.010748709817863179,0.056094918166265675,0.032439663288847516
4,3. E_max promedio por curva,linf_medio,PSBPM-FD,test,0.011938587069595852,0.06847186773691337,0.035114731416581606
4,3. E_max promedio por curva,linf_medio,PSBPM-FD,train,0.014280990499258461,0.10584057583472964,0.0418212203629441
4,3. E_max promedio por curva,linf_medio,RF,test,0.01229944824395306,0.0742038472118832,0.038401047502395
4,3. E_max promedio por curva,linf_medio,RF,train,0.013845219298455762,0.10852366875769945,0.04150303279565106
4,3. E_max promedio por curva,linf_medio,media,test,0.014528867463068685,0.1392171252797138,0.06422266822391569
4,3. E_max promedio por curva,linf_medio,media,train,0.027558214677558136,0.3483396807565391,0.118481421635953
4,3. E_max promedio por curva,linf_medio,persistencia,test,0.010475068363257156,0.06519306018532472,0.035711041254749006
4,3. E_max promedio por curva,linf_medio,persistencia,train,0.011145388654165467,0.11353175575029133,0.04320298683278941
4,4. E_max peor de la ventana,linf_max,(truncamiento FPCA),test,0.013825401047963481,0.15263316589183862,0.09907268125069177
4,4. E_max peor de la ventana,linf_max,(truncamiento FPCA),train,0.01105467265862159,0.19792938961273676,0.10059953312818423
4,4. E_max peor de la ventana,linf_max,FAR,test,0.020360261718263217,0.21588418927609965,0.11772068185545077
4,4. E_max peor de la ventana,linf_max,FAR,train,0.020613019239198338,0.343712246828223,0.13398136738896238
4,4. E_max peor de la ventana,linf_max,GBT,test,0.023384820341945556,0.196582122602305,0.12214338742331314
4,4. E_max peor de la ventana,linf_max,GBT,train,0.016253640697701077,0.21177582758092273,0.1112910902715668
4,4. E_max peor de la ventana,linf_max,PSBPM-FD,test,0.023364696469764912,0.20832373669811122,0.11633205011901793
4,4. E_max peor de la ventana,linf_max,PSBPM-FD,train,0.021563987895370285,0.3429856231939895,0.13514064533538162
4,4. E_max peor de la ventana,linf_max,RF,test,0.023147582429977387,0.20677822245167166,0.11938686971374592
4,4. E_max peor de la ventana,linf_max,RF,train,0.025865558823492507,0.30781379586811153,0.13466494546171257
4,4. E_max peor de la ventana,linf_max,media,test,0.02095571215374803,0.20589623916202004,0.13135203375233187
4,4. E_max peor de la ventana,linf_max,media,train,0.05130881414490229,0.4842867787317717,0.20791871371864232
4,4. E_max peor de la ventana,linf_max,persistencia,test,0.01903376378457944,0.21216729665817646,0.11696948145085967
4,4. E_max peor de la ventana,linf_max,persistencia,train,0.016891609546246023,0.348440067353053,0.13641442670819937
