fpc_1,fpc_1_lag1,fpc_2_lag1,fpc_3_lag1
-0.19202921056036046,-0.18894031508757286,0.0003320077595191302,-0.0009924299544792213
-0.19920204182086884,-0.19202921056036046,0.0005174895655733178,-0.003504197823140486
-0.19865246669567638,-0.19920204182086884,0.0027543411428993187,-0.0014295341120318817
-0.20886306120918294,-0.19865246669567638,0.0012334462657906272,-0.0040045072573220725
-0.20823653297018124,-0.20886306120918294,0.004642926601830578,-0.002782742688896881
-0.20395930263837728,-0.20823653297018124,0.004145792629674128,-0.00048089379493050866
-0.21253641871916787,-0.20395930263837728,0.00173273362162654,-0.004766333078752037
-0.2132100238342666,-0.21253641871916787,0.0030069521610001245,-0.0018597385992387828
-0.21183507463684512,-0.2132100238342666,0.0033502015353658846,-0.0028031600806584945
-0.21187898059041715,-0.21183507463684512,0.0027226863711611246,-0.0013065807015222044
-0.2147947015410222,-0.21187898059041715,0.002689989131683142,-0.002006529775816609
-0.21630308337830742,-0.2147947015410222,0.0030742075674164357,-0.00029180207963369235
-0.21001623772066405,-0.21630308337830742,0.003964498202676683,-0.0001630860060006557
-0.21146748907467228,-0.21001623772066405,0.006271692425832335,0.0047649743180058785
-0.2219460130207173,-0.21146748907467228,0.004316430130049419,0.001900286147177494
-0.22540541597934396,-0.2219460130207173,0.009465273069996042,0.007977707644728145
-0.22577052681508972,-0.22540541597934396,0.008867018700613754,0.0019116536927905852
-0.21818189114503975,-0.22577052681508972,0.0016851374072762572,-0.006111611499419021
-0.21895880290626424,-0.21818189114503975,0.0016173644439790563,-0.0018873048841114475
-0.22152743120691903,-0.21895880290626424,0.002345784675982204,-0.0015705665982043496
-0.21735970228473406,-0.22152743120691903,0.003596459259401395,-0.0003672463155176057
-0.20554675037400824,-0.21735970228473406,0.0032105164075554565,0.00012848364634094462
-0.21168610339307795,-0.20554675037400824,0.010873985990115085,0.007945946888370053
-0.1946479824816171,-0.21168610339307795,0.002689545083287285,-0.001201456932511795
-0.1970384966974506,-0.1946479824816171,0.0070139720415089936,0.00639567750837446
-0.17549915444433561,-0.1970384966974506,0.007908932399506763,0.009635622343260297
-0.1425733224826419,-0.17549915444433561,0.012819936820733796,0.019395122696753354
-0.1283039649857597,-0.1425733224826419,0.002839384849744342,0.00515434450101448
-0.13752977731095337,-0.1283039649857597,0.0006241081335973673,0.010062320025181684
-0.14737843141370913,-0.13752977731095337,-0.0008408271637109817,0.005575603110025349
-0.15419346908506174,-0.14737843141370913,-0.0008034756399659803,0.003828726557592766
-0.16369245608109825,-0.15419346908506174,-0.0023168601853803933,-0.0028599829871712923
-0.16067772731874458,-0.16369245608109825,0.004532980163349972,0.004868328395658207
-0.16435660365894647,-0.16067772731874458,-0.00136826900710819,-0.004032894461226417
-0.14882880463632864,-0.16435660365894647,0.008937242026250992,0.00566410481073297
-0.14219718023826516,-0.14882880463632864,0.003582523259418894,0.008980726874594587
-0.13389234457962576,-0.14219718023826516,0.00416523673103897,0.011386279118162443
-0.1324551512817154,-0.13389234457962576,0.0036130166700942567,0.011938969409401631
-0.14452532621862754,-0.1324551512817154,-6.495013617494481e-05,0.0069167796238705295
-0.15508301708382696,-0.14452532621862754,-0.00023392697393094755,-0.0005239547737527575
-0.15182365901992578,-0.15508301708382696,0.005111440952985535,0.005122739922641274
-0.14903603070591961,-0.15182365901992578,0.004037034104236591,0.006723636139870355
-0.1381934187096928,-0.14903603070591961,0.004967723825621639,0.008189916982225159
-0.12546978172223539,-0.1381934187096928,0.0034835920016380124,0.013414516072022657
-0.1332472940887485,-0.12546978172223539,0.004164686379950038,0.018336709041631174
-0.1616953000756924,-0.1332472940887485,-0.009708029575485048,-0.007022702435889165
-0.18137938127863967,-0.1616953000756924,-0.001528529241016678,-0.0022978826978649735
-0.17921901052287617,-0.18137938127863967,0.019563759736783867,0.0030758642024580067
-0.17352521872904172,-0.17921901052287617,0.008367109021051868,0.0062520627510833935
-0.18234709661134132,-0.17352521872904172,0.0015776707385602873,0.004455714824113911
-0.1816684563318623,-0.18234709661134132,-1.819881222412168e-05,0.00793996181892417
-0.19110558913708967,-0.1816684563318623,-0.000963233633318044,-0.00448615339130924
-0.1731654511575249,-0.19110558913708967,0.006203326488923218,0.009091041316729808
-0.16083220475299506,-0.1731654511575249,0.0017999317920301381,0.01194665450758109
-0.16317414816838377,-0.16083220475299506,-0.0030403812392935906,0.007358176707815372
-0.18836311404173015,-0.16317414816838377,-0.0012359365796404172,0.009337088400979238
-0.19487306211204738,-0.18836311404173015,0.0017597482461298316,-0.0041001993186500114
-0.1926189152680528,-0.19487306211204738,0.006638267911442838,0.0062103417514031535
-0.1972779949073707,-0.1926189152680528,-0.002871727897334164,-0.005118396548765404
-0.20166023083157403,-0.1972779949073707,0.004075091472157874,-0.0019335741623060139
-0.19646746355045117,-0.20166023083157403,0.00149693420364072,0.007704331239723372
-0.18667153519274174,-0.19646746355045117,-0.0009642017161552138,0.0040829839429633325
-0.17982820913251382,-0.18667153519274174,-0.0010299376540009956,0.009807645470632441
-0.164997290328246,-0.17982820913251382,-0.0011431179619325884,0.013543692423240198
-0.15829455501975387,-0.164997290328246,-0.004445103744081289,0.012748131054501463
-0.15364318841628943,-0.15829455501975387,-0.007582265978486845,0.009079161230304287
-0.14382514502992189,-0.15364318841628943,-0.009868723893277904,0.010306054403288092
-0.14021368891043526,-0.14382514502992189,-0.00945768214907877,0.011323735629367919
-0.15371667558836796,-0.14021368891043526,-0.016323757294940257,0.008598597338223324
-0.16895327643709984,-0.15371667558836796,-0.013094550967303577,-0.0008920907435861642
-0.17903154029435123,-0.16895327643709984,0.0032019056589907982,-0.0023578612549548976
-0.16484458451714776,-0.17903154029435123,0.004034458777522131,0.009228395643513231
-0.16238220342292722,-0.16484458451714776,-0.005405903243071639,0.006940153987872853
-0.17794743032937274,-0.16238220342292722,-0.005258474954094558,0.00023125109735268014
-0.17638835175406084,-0.17794743032937274,0.0006619461812703429,0.003002094146773057
-0.177336743560274,-0.17638835175406084,-0.0010414279168084251,0.00287180914763507
-0.16819148342386325,-0.177336743560274,-0.0010413412960367492,0.006102577968716854
-0.15023691549422205,-0.16819148342386325,-0.0013229152649918083,0.008443065481310907
-0.14107261398762905,-0.15023691549422205,-0.0035592708768695507,0.008495327119695535
-0.12589370686175191,-0.14107261398762905,-0.0027023006471525376,0.009592756978111036
-0.11168720585452853,-0.12589370686175191,-0.0056689404615594356,0.011959196342151975
-0.10863719497756218,-0.11168720585452853,-0.004767678041023709,0.014799021635848932
-0.14524171075811707,-0.10863719497756218,-0.014011777684220217,-0.002230306387746332
-0.1574557168524454,-0.14524171075811707,0.0006360104507606302,-0.0014059440978129666
-0.17710274406397156,-0.1574557168524454,-0.002133915970607966,-0.004685371252732919
-0.1708314801014303,-0.17710274406397156,0.0021464302082791274,0.0025259957960435567
-0.14963203689816107,-0.1708314801014303,0.00046277970431041573,0.008767693605345076
-0.1308382029506694,-0.14963203689816107,-0.0011630772982831662,0.011131801474478889
-0.12665281876510653,-0.1308382029506694,-0.00511629591090233,0.011635855504498213
-0.12723787487628796,-0.12665281876510653,-0.007817852705956772,0.00930114519281225
-0.15255183902211428,-0.12723787487628796,-0.0066896497417900345,-0.00030096284336678184
-0.1468081383848761,-0.15255183902211428,-0.0010031904094991721,0.003597425902151745
-0.13803076955985757,-0.1468081383848761,0.0003710048372635134,0.009825520718533818
-0.13936296343936722,-0.13803076955985757,-0.005524342191540885,0.001929118327359936
-0.1302550904838502,-0.13936296343936722,0.00251769532498322,0.010110231583872293
-0.1513492329975631,-0.1302550904838502,-0.004532711386913382,7.801886776515922e-05
-0.1602041907982396,-0.1513492329975631,-0.00211453152097502,-0.000256310365858116
-0.14963159305590143,-0.1602041907982396,0.0034017214718825082,0.004644061377850493
-0.13508510994773504,-0.14963159305590143,0.004445404464575813,0.006874617495946265
-0.12165734922277031,-0.13508510994773504,-0.0010566272141414401,0.016037513077887654
-0.13061642545702334,-0.12165734922277031,-0.005126480519434342,0.002831221039489636
-0.13608759093918799,-0.13061642545702334,-0.0038326714121505283,0.0017227932448083093
-0.1387828427864579,-0.13608759093918799,-0.0029818260105331637,0.0019243647804664072
-0.13796520335391282,-0.1387828427864579,-0.002068255093314081,0.0035092464927021956
-0.1405628253763204,-0.13796520335391282,-0.004364582315708791,-0.008361499109814818
-0.15469003474459903,-0.1405628253763204,-0.0028274307576340403,-0.0028924752834069293
-0.16832912294549027,-0.15469003474459903,-0.0015361651794204931,-0.0016146402903888693
-0.17725892191495116,-0.16832912294549027,0.012212797513482514,0.009238774843493627
-0.17874182046903309,-0.17725892191495116,-0.0002774255472180298,0.00250632243648316
-0.16888059130257768,-0.17874182046903309,-0.0011334466261811768,0.0033301592361020204
-0.15385927121299045,-0.16888059130257768,-0.0030813824515199843,0.002758282759606101
-0.15174355226411446,-0.15385927121299045,-0.0031164045388584857,-0.003844373297566706
-0.14564196338417962,-0.15174355226411446,-0.0019046308475012394,-0.0027764786604808846
-0.14126455302597846,-0.14564196338417962,-0.002106643381154042,-0.003389723532912696
-0.15188208897516176,-0.14126455302597846,-0.0012850057431628083,-0.0043449824240288926
-0.15047133069608137,-0.15188208897516176,-0.007518952997202441,-0.0018121511514329414
-0.14733189543270658,-0.15047133069608137,-0.004131795104824129,-0.006004493048928476
-0.13692882410324153,-0.14733189543270658,-0.0014894907022804456,-0.004938083733937894
-0.1374444573864145,-0.13692882410324153,-0.0009493665928364666,-0.0021238839079729894
-0.1428294551618784,-0.1374444573864145,-5.217302622241144e-05,-0.003913638974657511
-0.13545683569345715,-0.1428294551618784,0.0005011560125602506,-0.002959480195036998
-0.1441548969414622,-0.13545683569345715,-0.004316700890398885,-0.004082398187910705
