M,metrica,columna,bloque,modelo,pct_ventanas_ganadas,n_ventanas
4,2. RMSE (L^2),rmse_f,train,GBT,1.0,540
4,2. RMSE (L^2),rmse_f,train,PSBPM-FD,0.0,540
4,2. RMSE (L^2),rmse_f,test,FAR,0.14479638009049775,221
4,2. RMSE (L^2),rmse_f,test,RF,0.7737556561085973,221
4,2. RMSE (L^2),rmse_f,test,GBT,0.02262443438914027,221
4,2. RMSE (L^2),rmse_f,test,PSBPM-FD,0.058823529411764705,221
4,3. E_max promedio por curva,linf_medio,train,FAR,0.0,540
4,3. E_max promedio por curva,linf_medio,train,RF,0.0,540
4,3. E_max promedio por curva,linf_medio,train,GBT,1.0,540
4,3. E_max promedio por curva,linf_medio,train,PSBPM-FD,0.0,540
4,3. E_max promedio por curva,linf_medio,test,FAR,0.13574660633484162,221
4,3. E_max promedio por curva,linf_medio,test,RF,0.6289592760180995,221
4,3. E_max promedio por curva,linf_medio,test,GBT,0.058823529411764705,221
4,3. E_max promedio por curva,linf_medio,test,PSBPM-FD,0.17647058823529413,221
4,4. E_max peor de la ventana,linf_max,train,FAR,0.0,540
4,4. E_max peor de la ventana,linf_max,train,RF,0.0,540
4,4. E_max peor de la ventana,linf_max,train,GBT,1.0,540
4,4. E_max peor de la ventana,linf_max,train,PSBPM-FD,0.0,540
4,4. E_max peor de la ventana,linf_max,test,FAR,0.334841628959276,221
4,4. E_max peor de la ventana,linf_max,test,RF,0.49321266968325794,221
4,4. E_max peor de la ventana,linf_max,test,GBT,0.12217194570135746,221
4,4. E_max peor de la ventana,linf_max,test,PSBPM-FD,0.049773755656108594,221
5,1. MAE  (L^1),mae_f,train,FAR,0.0,540
5,1. MAE  (L^1),mae_f,train,RF,0.0,540
5,1. MAE  (L^1),mae_f,train,GBT,1.0,540
5,1. MAE  (L^1),mae_f,train,PSBPM-FD,0.0,540
5,1. MAE  (L^1),mae_f,test,FAR,0.13122171945701358,221
5,1. MAE  (L^1),mae_f,test,RF,0.7058823529411765,221
5,1. MAE  (L^1),mae_f,test,GBT,0.1085972850678733,221
5,1. MAE  (L^1),mae_f,test,PSBPM-FD,0.05429864253393665,221
5,2. RMSE (L^2),rmse_f,train,FAR,0.0,540
5,2. RMSE (L^2),rmse_f,train,RF,0.0,540
5,2. RMSE (L^2),rmse_f,train,GBT,1.0,540
5,2. RMSE (L^2),rmse_f,train,PSBPM-FD,0.0,540
5,2. RMSE (L^2),rmse_f,test,FAR,0.1493212669683258,221
5,2. RMSE (L^2),rmse_f,test,RF,0.6787330316742082,221
5,2. RMSE (L^2),rmse_f,test,GBT,0.07239819004524888,221
5,2. RMSE (L^2),rmse_f,test,PSBPM-FD,0.09954751131221719,221
5,3. E_max promedio por curva,linf_medio,train,FAR,0.0,540
5,3. E_max promedio por curva,linf_medio,train,RF,0.0,540
5,3. E_max promedio por curva,linf_medio,train,GBT,1.0,540
5,3. E_max promedio por curva,linf_medio,train,PSBPM-FD,0.0,540
5,3. E_max promedio por curva,linf_medio,test,FAR,0.09049773755656108,221
5,3. E_max promedio por curva,linf_medio,test,RF,0.6289592760180995,221
5,3. E_max promedio por curva,linf_medio,test,GBT,0.09502262443438914,221
5,3. E_max promedio por curva,linf_medio,test,PSBPM-FD,0.18552036199095023,221
5,4. E_max peor de la ventana,linf_max,train,FAR,0.0,540
5,4. E_max peor de la ventana,linf_max,train,RF,0.0,540
5,4. E_max peor de la ventana,linf_max,train,GBT,1.0,540
5,4. E_max peor de la ventana,linf_max,train,PSBPM-FD,0.0,540
5,4. E_max peor de la ventana,linf_max,test,FAR,0.24434389140271492,221
5,4. E_max peor de la ventana,linf_max,test,RF,0.4434389140271493,221
5,4. E_max peor de la ventana,linf_max,test,GBT,0.17194570135746606,221
5,4. E_max peor de la ventana,linf_max,test,PSBPM-FD,0.14027149321266968,221
6,1. MAE  (L^1),mae_f,train,FAR,0.0,540
6,1. MAE  (L^1),mae_f,train,RF,0.0,540
6,1. MAE  (L^1),mae_f,train,GBT,1.0,540
6,1. MAE  (L^1),mae_f,train,PSBPM-FD,0.0,540
6,1. MAE  (L^1),mae_f,test,FAR,0.14027149321266968,221
6,1. MAE  (L^1),mae_f,test,RF,0.45248868778280543,221
6,1. MAE  (L^1),mae_f,test,GBT,0.37104072398190047,221
6,1. MAE  (L^1),mae_f,test,PSBPM-FD,0.03619909502262444,221
6,2. RMSE (L^2),rmse_f,train,FAR,0.0,540
6,2. RMSE (L^2),rmse_f,train,RF,0.0,540
6,2. RMSE (L^2),rmse_f,train,GBT,1.0,540
6,2. RMSE (L^2),rmse_f,train,PSBPM-FD,0.0,540
6,2. RMSE (L^2),rmse_f,test,FAR,0.14479638009049775,221
6,2. RMSE (L^2),rmse_f,test,RF,0.5610859728506787,221
6,2. RMSE (L^2),rmse_f,test,GBT,0.2398190045248869,221
6,2. RMSE (L^2),rmse_f,test,PSBPM-FD,0.05429864253393665,221
6,3. E_max promedio por curva,linf_medio,train,FAR,0.0,540
6,3. E_max promedio por curva,linf_medio,train,RF,0.0,540
6,3. E_max promedio por curva,linf_medio,train,GBT,1.0,540
6,3. E_max promedio por curva,linf_medio,train,PSBPM-FD,0.0,540
6,3. E_max promedio por curva,linf_medio,test,FAR,0.09954751131221719,221
6,3. E_max promedio por curva,linf_medio,test,RF,0.5339366515837104,221
6,3. E_max promedio por curva,linf_medio,test,GBT,0.2669683257918552,221
6,3. E_max promedio por curva,linf_medio,test,PSBPM-FD,0.09954751131221719,221
6,4. E_max peor de la ventana,linf_max,train,FAR,0.0,540
6,4. E_max peor de la ventana,linf_max,train,RF,0.0,540
6,4. E_max peor de la ventana,linf_max,train,GBT,1.0,540
6,4. E_max peor de la ventana,linf_max,train,PSBPM-FD,0.0,540
6,4. E_max peor de la ventana,linf_max,test,FAR,0.3212669683257919,221
6,4. E_max peor de la ventana,linf_max,test,RF,0.497737556561086,221
6,4. E_max peor de la ventana,linf_max,test,GBT,0.167420814479638,221
6,4. E_max peor de la ventana,linf_max,test,PSBPM-FD,0.013574660633484163,221
