M,metrica,columna,banda,bloque,minimo,maximo,promedio
3,10. Winkler max peor ventana,winkler_max_glob,FAR (IC del modelo AR),test,34.57793338478453,224.0160322009545,119.79601077826797
3,10. Winkler max peor ventana,winkler_max_glob,FAR (IC del modelo AR),train,34.57793338478453,487.9142012940589,148.03027194147862
3,10. Winkler max peor ventana,winkler_max_glob,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,34.85958246418537,199.13322429064837,114.04862547443182
3,10. Winkler max peor ventana,winkler_max_glob,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,34.85958246418537,460.50290372632924,145.9158969478245
3,10. Winkler max peor ventana,winkler_max_glob,PSBPM-FD (predictiva bayesiana),test,35.334550857543945,321.6446728239143,170.27697780446263
3,10. Winkler max peor ventana,winkler_max_glob,PSBPM-FD (predictiva bayesiana),train,35.50286293029785,567.4441106380423,205.06071625291662
4,5. MPIW,mpiw,FAR (IC del modelo AR),test,2.452319722364059,2.452319722364059,2.4523197223640585
4,5. MPIW,mpiw,FAR (IC del modelo AR),train,2.452319722364059,2.452319722364059,2.452319722364059
4,5. MPIW,mpiw,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,2.477096324199464,2.477096324199464,2.477096324199464
4,5. MPIW,mpiw,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,2.477096324199464,2.477096324199464,2.477096324199464
4,5. MPIW,mpiw,PSBPM-FD (predictiva bayesiana),test,2.7933454577385475,3.17614215909224,2.914909718862215
4,5. MPIW,mpiw,PSBPM-FD (predictiva bayesiana),train,2.7548755650832026,3.2837310475945416,2.9407969440093553
4,6. PICP puntual,picp,FAR (IC del modelo AR),test,0.919,0.991,0.9555542986425339
4,6. PICP puntual,picp,FAR (IC del modelo AR),train,0.9095,0.996,0.9546898148148149
4,6. PICP puntual,picp,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,0.93,0.9925,0.9573755656108598
4,6. PICP puntual,picp,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,0.9155,0.9895,0.9551824074074073
4,6. PICP puntual,picp,PSBPM-FD (predictiva bayesiana),test,0.8905,0.947,0.9159524886877828
4,6. PICP puntual,picp,PSBPM-FD (predictiva bayesiana),train,0.8725,0.9535,0.9177916666666667
4,7. PICPB curva completa,picp_simultaneo,FAR (IC del modelo AR),test,0.1,0.75,0.4972850678733032
4,7. PICPB curva completa,picp_simultaneo,FAR (IC del modelo AR),train,0.25,0.9,0.5127777777777779
4,7. PICPB curva completa,picp_simultaneo,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,0.25,0.8,0.5160633484162895
4,7. PICPB curva completa,picp_simultaneo,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,0.3,0.8,0.5029629629629631
4,7. PICPB curva completa,picp_simultaneo,PSBPM-FD (predictiva bayesiana),test,0.0,0.25,0.10339366515837105
4,7. PICPB curva completa,picp_simultaneo,PSBPM-FD (predictiva bayesiana),train,0.0,0.35,0.07981481481481481
4,8. Winkler,winkler,FAR (IC del modelo AR),test,2.3142761023714287,2.919786790602255,2.568948436916924
4,8. Winkler,winkler,FAR (IC del modelo AR),train,2.315591155727119,3.463062875928274,2.6570141704762293
4,8. Winkler,winkler,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,2.3303277070880757,2.8187595019611913,2.579790486222421
4,8. Winkler,winkler,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,2.335419206916204,3.443695445096334,2.678954141856917
4,8. Winkler,winkler,PSBPM-FD (predictiva bayesiana),test,2.7011705411936724,3.5464763811392848,3.0555206280121485
4,8. Winkler,winkler,PSBPM-FD (predictiva bayesiana),train,2.700952347608477,4.005131272829077,3.139683879782999
4,9. Winkler max promedio,winkler_max_medio,FAR (IC del modelo AR),test,34.5779333847846,49.06351198995985,39.89052955730066
4,9. Winkler max promedio,winkler_max_medio,FAR (IC del modelo AR),train,34.5779333847846,74.74353718747247,42.566219026758304
4,9. Winkler max promedio,winkler_max_medio,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,34.868796416829085,48.837991222807815,39.85979073812746
4,9. Winkler max promedio,winkler_max_medio,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,34.868796416829085,76.95179935315433,43.00334716490016
4,9. Winkler max promedio,winkler_max_medio,PSBPM-FD (predictiva bayesiana),test,29.97816128730774,55.432300027722555,40.65030918499625
4,9. Winkler max promedio,winkler_max_medio,PSBPM-FD (predictiva bayesiana),train,29.74706950187683,87.31309836984731,44.57315617793855
4,10. Winkler max peor ventana,winkler_max_glob,FAR (IC del modelo AR),test,34.5779333847846,224.01603220122962,119.79601077830874
4,10. Winkler max peor ventana,winkler_max_glob,FAR (IC del modelo AR),train,34.5779333847846,487.9142012941022,148.0302719414405
4,10. Winkler max peor ventana,winkler_max_glob,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,34.86879641682907,201.0037312193177,112.30108991575075
4,10. Winkler max peor ventana,winkler_max_glob,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,34.86879641682907,451.003552312907,147.78399204548577
4,10. Winkler max peor ventana,winkler_max_glob,PSBPM-FD (predictiva bayesiana),test,37.145602226257324,333.1721409773059,177.0555630023785
4,10. Winkler max peor ventana,winkler_max_glob,PSBPM-FD (predictiva bayesiana),train,34.2357120513916,595.8529527248343,207.85511220816838
5,5. MPIW,mpiw,FAR (IC del modelo AR),test,2.4523197223638555,2.452319722363856,2.4523197223638555
5,5. MPIW,mpiw,FAR (IC del modelo AR),train,2.4523197223638555,2.4523197223638564,2.4523197223638555
5,5. MPIW,mpiw,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,2.474152216807001,2.4741522168070014,2.474152216807001
5,5. MPIW,mpiw,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,2.474152216807001,2.4741522168070014,2.474152216807001
5,5. MPIW,mpiw,PSBPM-FD (predictiva bayesiana),test,2.8066948815804063,3.248518734206358,2.9395117716449715
5,5. MPIW,mpiw,PSBPM-FD (predictiva bayesiana),train,2.7653649463869368,3.3520066330153933,2.9616475208339312
5,6. PICP puntual,picp,FAR (IC del modelo AR),test,0.919,0.991,0.9555542986425339
5,6. PICP puntual,picp,FAR (IC del modelo AR),train,0.9095,0.996,0.9546898148148149
5,6. PICP puntual,picp,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,0.9285,0.992,0.9563054298642534
5,6. PICP puntual,picp,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,0.9165,0.9935,0.9548277777777777
5,6. PICP puntual,picp,PSBPM-FD (predictiva bayesiana),test,0.915,0.965,0.9379570135746607
5,6. PICP puntual,picp,PSBPM-FD (predictiva bayesiana),train,0.8985,0.971,0.9415212962962962
5,7. PICPB curva completa,picp_simultaneo,FAR (IC del modelo AR),test,0.1,0.75,0.4972850678733032
5,7. PICPB curva completa,picp_simultaneo,FAR (IC del modelo AR),train,0.25,0.9,0.5127777777777779
5,7. PICPB curva completa,picp_simultaneo,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,0.2,0.75,0.5205882352941177
5,7. PICPB curva completa,picp_simultaneo,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,0.3,0.85,0.5140740740740741
5,7. PICPB curva completa,picp_simultaneo,PSBPM-FD (predictiva bayesiana),test,0.1,0.5,0.28597285067873307
5,7. PICPB curva completa,picp_simultaneo,PSBPM-FD (predictiva bayesiana),train,0.05,0.5,0.26537037037037037
5,8. Winkler,winkler,FAR (IC del modelo AR),test,2.3142761023711924,2.919786790601858,2.5689484369167146
5,8. Winkler,winkler,FAR (IC del modelo AR),train,2.315591155726929,3.4630628759278985,2.6570141704759194
5,8. Winkler,winkler,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,2.3275803452148027,2.8371448795135126,2.5747294606898743
