M,metrica,columna,modelo,bloque,minimo,maximo,promedio
3,2. RMSE (L^2),rmse_f,RF,test,0.9554300676395183,1.200082889409425,1.0344284230172969
3,2. RMSE (L^2),rmse_f,RF,train,0.7820566797718593,1.0420108174419966,0.9123960957690138
3,2. RMSE (L^2),rmse_f,media,test,0.9688999350092125,1.3453023721213624,1.1022930990371849
3,2. RMSE (L^2),rmse_f,media,train,0.9188709676554593,1.3019551302705972,1.0900829378110561
3,2. RMSE (L^2),rmse_f,persistencia,test,1.0109423739502816,1.3318028260997163,1.1463973822158204
3,2. RMSE (L^2),rmse_f,persistencia,train,0.8874088908399173,1.3593823036079555,1.1041575381454727
3,3. E_max promedio por curva,linf_medio,(truncamiento FPCA),test,1.1459627296933799,1.5863907468572982,1.3292309176086627
3,3. E_max promedio por curva,linf_medio,(truncamiento FPCA),train,1.054523829456164,1.5740693136825668,1.3160846873437007
3,3. E_max promedio por curva,linf_medio,FAR,test,1.7989500165090881,2.244861905441847,1.9883452101604442
3,3. E_max promedio por curva,linf_medio,FAR,train,1.673234426473239,2.208220453657492,1.934377827073558
3,3. E_max promedio por curva,linf_medio,GBT,test,1.8373594229594805,2.4161981991598744,2.0822329681241034
3,3. E_max promedio por curva,linf_medio,GBT,train,1.3773264276906056,1.8071227107916186,1.5806921735331891
3,3. E_max promedio por curva,linf_medio,PSBPM-FD,test,1.7861402936104693,2.2605264458663696,1.981992221139122
3,3. E_max promedio por curva,linf_medio,PSBPM-FD,train,1.6474785355578856,2.2437873914444717,1.9381084194443214
3,3. E_max promedio por curva,linf_medio,RF,test,1.8232914535848974,2.2411405202944596,1.9929622172131887
3,3. E_max promedio por curva,linf_medio,RF,train,1.5365680721406692,2.034023732643565,1.811198506152244
3,3. E_max promedio por curva,linf_medio,media,test,1.8143297124006104,2.449772887175133,2.084690405494257
3,3. E_max promedio por curva,linf_medio,media,train,1.7755972728845477,2.4803271270280436,2.0804806972249374
3,3. E_max promedio por curva,linf_medio,persistencia,test,1.903967016765159,2.533665945276914,2.1674614314198863
3,3. E_max promedio por curva,linf_medio,persistencia,train,1.7105207923489527,2.456052737628832,2.0828028878481644
3,4. E_max peor de la ventana,linf_max,(truncamiento FPCA),test,1.7435300205759106,3.247132982490336,2.323537285428157
3,4. E_max peor de la ventana,linf_max,(truncamiento FPCA),train,1.7566429751184598,3.265269359734928,2.42496848073964
