M,modelo,bloque,mise,rmse_f,mae_f,linf_medio,razon_linf_l1,MISE_FAR,MISE_rel_FAR
2,GBT,test,1.201253454890007,1.0906152541638907,0.8733186936631168,1.431617378988363,1.8722922922296095,0.9328217390230897,1.2877631434147707
2,GBT,train,0.40106729516570133,0.6295922381417053,0.5006797942734412,0.9234277306942105,2.0632068631756364,0.9651081774821195,0.4155671918686358
2,PSBPM-FD,test,0.9234218288512581,0.9561629721524022,0.7665726460192159,1.2733398073957076,1.8712425219590954,0.9328217390230897,0.9899231441779264
2,PSBPM-FD,train,0.9448656652882284,0.9654955073474645,0.7768447771278306,1.30799380709717,1.8758359681388386,0.9651081774821195,0.9790256546714773
2,RF,test,1.0006671102117082,0.9955561690484672,0.7999471837289853,1.3373507291116893,1.9036566085134656,0.9328217390230897,1.0727313358495165
2,RF,train,0.7121084905079292,0.8377148839561568,0.673492137761948,1.149510942074099,1.9220854043400617,0.9651081774821195,0.7378535454603196
2,media,test,1.342689072908646,1.1404619376156027,0.9463394834387436,1.4644749524256897,1.7405246112804387,0.9328217390230897,1.439384414770174
2,media,train,1.4750930846539982,1.1944746752585995,0.987406593618207,1.5162975691736997,1.7302637911455405,0.9651081774821195,1.5284225323863523
2,persistencia,test,1.211656300285649,1.0944581895240673,0.8815495739911373,1.4593356958812516,1.8244423331822672,0.9328217390230897,1.2989151620271764
2,persistencia,train,1.2045598480088715,1.08723238352098,0.8655287094462948,1.4922225659773551,1.8860590913754438,0.9651081774821195,1.2481086329114524
3,(truncamiento FPCA),test,0.005769519926498062,0.07569512143327708,0.05859845664282495,0.20404762985712616,3.5583876204741163,0.9328210939251571,0.006185023006095279
3,(truncamiento FPCA),train,0.005470657428730868,0.07365602449069279,0.05691602838060545,0.18842851381798773,3.3572825274273788,0.9651078114381827,0.0056684417677426244
3,FAR,test,0.9328210939251571,0.9610778646174863,0.7704705798649146,1.282166513730856,1.861543972078297,0.9328210939251571,1.0
3,FAR,train,0.9651078114381827,0.9758511017534378,0.7864667704662389,1.3193836570308919,1.8614224695157695,0.9651078114381827,1.0
3,GBT,test,1.2204979795318875,1.099073095024286,0.883321628745102,1.447882270439728,1.8365516408802602,0.9328210939251571,1.3083944900905207
3,GBT,train,0.24398194068884826,0.4904514929843065,0.3924015322414241,0.6827094978491359,1.9355127501384328,0.9651078114381827,0.2528027830644865
3,PSBPM-FD,test,0.9222896554614912,0.955566861025759,0.7661389290693965,1.2721060777670248,1.8710630219421833,0.9328210939251571,0.9887101197300853
3,PSBPM-FD,train,0.9453941049696297,0.9657962163091367,0.7775241875322623,1.3071582414617926,1.8748665778946483,0.9651078114381827,0.9795735707089801
3,RF,test,0.9996240857468411,0.9942671004653024,0.8045488564946633,1.3189778470255868,1.8288675882606333,0.9328210939251571,1.0716139378244418
3,RF,train,0.7052564633971513,0.833570264385221,0.6734290366118512,1.124309398298391,1.8862537100204098,0.9651078114381827,0.7307540722794414
3,media,test,1.342689072908646,1.1404619376156027,0.9463394834387435,1.4644749524256897,1.7405246112804387,0.9328210939251571,1.4393854101849608
3,media,train,1.4750930846539982,1.1944746752585995,0.987406593618207,1.5162975691736997,1.7302637911455405,0.9651078114381827,1.5284231120830394
3,persistencia,test,1.2301130778299891,1.1026735598283826,0.8894493720853609,1.5025379321521037,1.8861487048147951,0.9328210939251571,1.3187020381945658
3,persistencia,train,1.2334264642516015,1.1007712139607435,0.874323065530481,1.5972113301483177,2.0278775797066766,0.9651078114381827,1.278019356628744
