M,bloque,modelo,mae_f,rmse_f,l2_medio,razon_agregacion,linf_medio,linf_max,q95_abs_medio,razon_linf_l1_media,ref_FAR,rel_FAR
2,train,GBT,0.5006444088311433,0.6327156019127896,0.5595036287949746,0.8842892874832156,0.9210381526756768,2.413685719813357,0.8709925308060399,2.0577541698057407,0.98324514002867,0.6434973092207102
2,train,PSBPM-FD,0.7794208802652982,0.9730786436963614,0.8584737189359476,0.8822243962470776,1.3085661696301873,3.7152895126485745,1.2639289360198704,1.871025068389746,0.98324514002867,0.9896602628190848
2,train,RF,0.6747775956274048,0.8438224817604255,0.7434270935449129,0.881023093854927,1.1482337007264283,3.0767055338623495,1.103100314471445,1.9186854958224964,0.98324514002867,0.8582015281924718
2,train,media,0.9886901093121286,1.2151124218007459,1.0666463310327174,0.8778169919882739,1.5162665011724124,3.9319459321391044,1.4801448103669412,1.7254487156527005,0.98324514002867,1.235818385804902
2,train,persistencia,0.8690059390879566,1.0988868760333668,0.9686309257860369,0.8814655511061225,1.4931709581141224,3.811626700023441,1.4470356434584704,1.8802546987513487,0.98324514002867,1.1176123138542284
3,test,(truncamiento FPCA),0.05846837562689255,0.0758530638012255,0.07226781473840418,0.9527342880675653,0.20294080194040737,0.5072597957379603,0.1362959710918599,3.5536052160152676,0.9769962711753574,0.07763905148785458
3,test,FAR,0.7813002962511715,0.9769962711753574,0.8599396899330866,0.8801872794238528,1.296833264781746,3.2803102477232704,1.2516820184631727,1.856679569437742,0.9769962711753574,1.0
3,test,GBT,0.8906187246692507,1.1141715948932878,0.9770934448942403,0.876968547190277,1.458992720542778,3.093015001354391,1.4090406569404024,1.8352598446541697,0.9769962711753574,1.1404051660841081
3,test,PSBPM-FD,0.7767479346185789,0.9705689002168713,0.851610241599051,0.8774340919112087,1.2841126221513757,3.0487915033715867,1.2380929339368827,1.8629555533307742,0.9769962711753574,0.993421294279093
3,test,RF,0.8122381012599713,1.0080899910544356,0.8899891950636474,0.8828469709660961,1.329638327795278,3.045314201826497,1.2849296814723956,1.8268357038264633,0.9769962711753574,1.0318258327042247
3,test,media,0.9459634385142431,1.1656461277304517,1.0263379305262186,0.8804884313599785,1.4690399110602959,3.7811621579958987,1.4328614762344372,1.7479709331472606,0.9769962711753574,1.1930916853225475
3,test,persistencia,0.8971757133975227,1.1204201416636979,0.9846917501665023,0.8788593792185366,1.5116065226273485,3.6232768849371206,1.4442814769760053,1.8792021532635803,0.9769962711753574,1.1468008371370721
3,train,(truncamiento FPCA),0.057068273546925605,0.07412075322996725,0.07039907192326247,0.9497889437907103,0.18844538564711208,0.5737083399627736,0.13351913667295784,3.348617493748698,0.9832449430813678,0.0753838133127662
3,train,FAR,0.7884489329697618,0.9832449430813678,0.8679536320297376,0.8827440589825751,1.3193058572061243,3.588126663819102,1.2754506885313486,1.858677465291174,0.9832449430813678,1.0
3,train,GBT,0.3922750743057208,0.49411729192481907,0.43362745160632266,0.8775799970835668,0.6817107797854746,2.0330097242546863,0.6484209670085636,1.9346788979066498,0.9832449430813678,0.5025373335522243
3,train,PSBPM-FD,0.7800280206250416,0.9733269212973864,0.858696409782921,0.8822281506796609,1.3076246923400816,3.703308210080223,1.2630079291189031,1.8700981297177077,0.9832449430813678,0.9899129694449285
3,train,RF,0.6752899638881338,0.8402282455873334,0.7418840963386093,0.8829554353055818,1.1229875988045603,2.9983508267439904,1.0839784361215807,1.8784272714103654,0.9832449430813678,0.8545462160773105
3,train,media,0.9886901093121286,1.2151124218007459,1.0666463310327174,0.8778169919882739,1.5162665011724124,3.9319459321391044,1.4801448103669412,1.7254487156527005,0.9832449430813678,1.2358186333435228
3,train,persistencia,0.8777065338631153,1.1116049076563466,0.987297329197135,0.8881728772488999,1.5944108350323045,4.626394498099241,1.5163687854724823,2.017350267576083,0.9832449430813678,1.1305472918810184
