t,regimen,p_regimen_0,z_lag,ambiguedad,ambiguo,b_t,sep_dinamica,sep_tendencia,separacion,sep_en_sd,bimodal,nivel_curva,bloque
202,0,0.9985281097058385,-0.7433870784654121,0.0014718902941615042,0,1.0227264129570353,0.8567207070542989,0.7670448097177764,1.6237655167720755,1.6237655167720755,0,1.4962623169239875,train
203,0,0.9999242461690405,-0.9471462888670599,7.575383095947963e-05,0,1.038067055377843,0.8795490735195683,0.7785502915333823,1.6580993650529505,1.6580993650529505,0,2.0849985522871477,train
204,1,0.3942871144961695,0.0670406281908162,0.3942871144961695,1,1.0535603397536626,1.3020611287860675,0.7901702548152469,2.092231383601314,2.092231383601314,1,-0.31345365922249757,train
205,1,4.638821937900858e-08,1.3350830390485648,4.638821937685833e-08,0,1.069207021737735,1.1986421493922161,0.8019052663033013,2.000547415695517,2.000547415695517,0,0.5220985854584295,train
206,0,0.9991356625453565,-0.7833187101642934,0.0008643374546435378,0,1.0850078569833044,0.6653566195114007,0.8137558927374783,1.479112512248879,1.479112512248879,0,1.5573714083359504,train
207,0,0.989878432858427,-0.5804526590897052,0.010121567141572974,0,1.1009636011436117,0.6842974266673534,0.8257227008577088,1.5100201275250622,1.5100201275250622,0,1.2377507616302,train
208,0,0.9698059560414947,-0.4694873492548981,0.030194043958505334,0,1.1170750098719013,0.3979590080363084,0.837806257403926,1.2357652654402345,1.2357652654402345,0,1.4604091707279985,train
209,0,0.6060584521229406,-0.0672651349295401,0.3939415478770594,1,1.1333428388214144,0.4300413993146472,0.8500071291160608,1.280048528430708,1.280048528430708,1,3.530499515118083,train
210,0,0.9765343624171453,-0.4967299723416695,0.023465637582854693,0,1.1497678436453949,3.0133411630845846,0.8623258827340461,3.8756670458186306,3.8756670458186306,0,3.7630722722111014,train
211,0,0.495439507684185,0.002857926992574629,0.495439507684185,1,1.166350779997084,3.233050144191876,0.874763084997813,4.10781322918969,4.10781322918969,1,2.286751732898936,train
212,1,0.24749401762023238,0.170599217167714,0.24749401762023238,0,1.1830924035297257,1.486437904324781,0.8873193026472943,2.3737572069720754,2.3737572069720754,0,-1.7117661204203,train
213,0,0.12075416772901582,0.292806258358616,0.12075416772901582,0,1.1999934698965615,2.5917968097340625,0.8999951024224211,3.4917919121564838,3.4917919121564838,0,0.662519370144845,train
214,1,0.030634751885813244,0.4678863851842614,0.030634751885813216,0,1.2170547347508351,0.7234067277473742,0.9127910510631263,1.6361977788105007,1.6361977788105007,0,1.3999540477231123,train
215,0,0.7934036314257151,-0.20457200849880586,0.20659636857428487,0,1.2342769537457878,1.4298629529846851,0.9257077153093409,2.355570668294026,2.355570668294026,0,0.7871624262185631,train
216,0,0.11683454257931791,0.2977401292884671,0.11683454257931791,0,1.251660882534664,0.5510557904760137,0.938745661900998,1.4898014523770118,1.4898014523770118,0,-1.2859677757604786,train
217,1,0.27955105248671375,0.1460439263417174,0.27955105248671375,1,1.2692072767707043,3.2402484321350906,0.9519054575780282,4.1921538897131185,4.1921538897131185,1,1.955687848152277,train
218,0,0.9961078361214766,-0.6653209899173099,0.0038921638785234247,0,1.2869168921071532,2.1404675816429863,0.9651876690803649,3.105655250723351,3.105655250723351,0,1.1949988839561108,train
219,1,0.13370681815491237,0.277259588682164,0.13370681815491237,0,1.3047904841972517,0.2304726998845956,0.9785928631479388,1.2090655630325344,1.2090655630325344,0,0.3333558768766873,train
220,1,0.07182474616579688,0.3655836948435307,0.07182474616579687,0,1.3228288086942441,0.24010143604335968,0.992121606520683,1.2322230425640428,1.2322230425640428,0,1.1870671134247421,train
221,1,0.46074213361275845,0.024641059005022743,0.46074213361275845,1,1.3410326212513712,1.1106070392223804,1.0057744659385284,2.1163815051609087,2.1163815051609087,1,0.606399383574146,train
222,1,0.16839066451978735,0.24013608366561426,0.16839066451978735,0,1.3594026775218775,0.3693588805063088,1.019552008141408,1.3889108886477168,1.3889108886477168,0,-0.0279391396532243,train
223,1,0.04738961771903026,0.41767716761201135,0.047389617719030275,0,1.377939733159004,0.5263221652714719,1.033454799869253,1.559776965140725,1.559776965140725,0,-0.8683610518044766,train
224,0,0.9720493774861149,-0.47795118219760774,0.027950622513885137,0,1.3966445438159947,1.5094673815160111,1.047483407861996,2.556950789378007,2.556950789378007,0,0.30411536235670295,train
225,0,0.8225311746856883,-0.23126358096777996,0.17746882531431174,0,1.4155178651460907,1.3776990387378392,1.061638398859568,2.4393374375974073,2.4393374375974073,0,1.7018107186094222,train
226,1,0.09957413347702154,0.32099549047376613,0.09957413347702154,0,1.4345604528025362,0.3729257601461191,1.0759203396019021,1.4488460997480213,1.4488460997480213,0,-0.6302491517255246,train
227,0,0.940539904743319,-0.3898304965309149,0.059460095256680945,0,1.4537730624385725,1.2588136430238754,1.0903297968289294,2.3491434398528046,2.3491434398528046,0,2.1349318189736843,train
228,0,0.7745714492789271,-0.18849671935657078,0.22542855072107293,0,1.4731564497074434,0.8434004191740072,1.1048673372805826,1.9482677564545898,1.9482677564545898,0,1.521053868036745,train
229,1,0.4252190881640463,0.04713984352023887,0.4252190881640463,1,1.4927113702623904,0.07096437143350363,1.1195335276967928,1.1904978991302964,1.1904978991302964,1,1.2904666669828018,train
230,1,0.047897052841007384,0.4163987525267199,0.04789705284100737,0,1.5124385797566575,1.215057260536188,1.1343289348174932,2.349386195353681,2.349386195353681,0,-0.8619039386634058,train
231,1,0.4413591717037858,0.0368810298716803,0.4413591717037858,1,1.5323388338434856,1.545870727587615,1.149254125382614,2.695124852970229,2.695124852970229,1,0.3497650664654849,train
232,0,0.8548951658535755,-0.26441544362876285,0.1451048341464245,0,1.5524128881761192,0.18882220135005512,1.1643096661320893,1.3531318674821444,1.3531318674821444,0,1.6261990828576458,train
233,1,0.16543592882651287,0.24308981222788995,0.16543592882651287,0,1.572661498407799,0.20115492700089393,1.1794961238058492,1.380651050806743,1.380651050806743,0,0.10903445013099118,train
234,0,0.8386880676172916,-0.24727007015374725,0.16131193238270836,0,1.5930854201917695,0.39443695600322526,1.194814065143827,1.5892510211470523,1.5892510211470523,0,1.0671893310198381,train
235,0,0.998053123340012,-0.7216608365255646,0.0019468766599880505,0,1.6136854091812716,0.8247676184620526,1.2102640568859537,2.0350316753480064,2.0350316753480064,0,0.7745161410600552,train
236,0,0.9788206507327071,-0.5074946894998624,0.021179349267292924,0,1.6344622210295496,1.137963159955889,1.2258466657721623,2.363809825728051,2.363809825728051,0,0.2765781167609094,train
237,1,0.3912578049989477,0.06901056433174449,0.3912578049989477,1,1.6554166113898445,1.7657102202791122,1.2415624585423835,3.0072726788214954,3.0072726788214954,1,2.22838736164847,train
238,0,0.7401433654727665,-0.16094686401830735,0.2598566345272335,1,1.6765493359154007,2.221341822782109,1.2574120019365504,3.4787538247186593,3.4787538247186593,1,1.6236930606600821,train
239,1,0.43004075018402166,0.04406760474552326,0.43004075018402166,1,1.6978611502594587,0.1144904442698624,1.273395862694594,1.3878863069644565,1.3878863069644565,1,1.4459124926997662,train
240,0,0.9507124101288886,-0.41295018262109384,0.04928758987111137,0,1.7193528100752633,1.3174257917282226,1.2895146075564474,2.60694039928467,2.60694039928467,0,3.0062557563694536,train
241,1,0.4731117017854253,0.01686251946144598,0.4731117017854253,1,1.7410250710160553,1.6055559696141555,1.3057688032620414,2.911324772876197,2.911324772876197,1,-0.7663080522496232,train
