M,metrica,bloque,banda,razon_vs_mejor
3,9. Winkler max promedio,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0278347520374285
3,9. Winkler max promedio,train,PSBPM-FD (predictiva bayesiana),2.5895706978659505
3,9. Winkler max promedio,test,FAR (IC del modelo AR),1.0253568889957885
3,9. Winkler max promedio,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0177464486557466
3,9. Winkler max promedio,test,PSBPM-FD (predictiva bayesiana),2.6250852237372397
3,10. Winkler max peor ventana,train,FAR (IC del modelo AR),1.063504582328557
3,10. Winkler max peor ventana,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0641251523167172
3,10. Winkler max peor ventana,train,PSBPM-FD (predictiva bayesiana),1.7501762944454462
3,10. Winkler max peor ventana,test,FAR (IC del modelo AR),1.0577237014135012
3,10. Winkler max peor ventana,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0321668982517374
3,10. Winkler max peor ventana,test,PSBPM-FD (predictiva bayesiana),1.7662309927369315
4,5. MPIW,train,FAR (IC del modelo AR),1.127699786687179
4,5. MPIW,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.1385368355011647
4,5. MPIW,train,PSBPM-FD (predictiva bayesiana),1.0
4,5. MPIW,test,FAR (IC del modelo AR),1.1284673260812657
4,5. MPIW,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.1393117508493649
4,5. MPIW,test,PSBPM-FD (predictiva bayesiana),1.0
4,6. PICP puntual,train,FAR (IC del modelo AR),2.588170423525836
4,6. PICP puntual,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.7065343419485526
4,6. PICP puntual,train,PSBPM-FD (predictiva bayesiana),10.11585852355503
4,6. PICP puntual,test,FAR (IC del modelo AR),1.5503345131176471
4,6. PICP puntual,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.4414941436931814
4,6. PICP puntual,test,PSBPM-FD (predictiva bayesiana),12.446175420816397
4,7. PICPB curva completa,train,FAR (IC del modelo AR),1.0672959088236864
4,7. PICPB curva completa,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0848302469135802
4,7. PICPB curva completa,train,PSBPM-FD (predictiva bayesiana),2.121681831542943
4,7. PICPB curva completa,test,FAR (IC del modelo AR),1.0964814597167538
4,7. PICPB curva completa,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0386497866135875
4,7. PICPB curva completa,test,PSBPM-FD (predictiva bayesiana),1.8959741239153005
4,8. Winkler,train,FAR (IC del modelo AR),1.0032797783468221
4,8. Winkler,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0126297395542385
4,8. Winkler,train,PSBPM-FD (predictiva bayesiana),1.072061412827897
4,8. Winkler,test,FAR (IC del modelo AR),1.006423668703159
4,8. Winkler,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0063835920025808
4,8. Winkler,test,PSBPM-FD (predictiva bayesiana),1.0929584381876707
4,9. Winkler max promedio,train,FAR (IC del modelo AR),1.0205021242257157
4,9. Winkler max promedio,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0225454960078013
4,9. Winkler max promedio,train,PSBPM-FD (predictiva bayesiana),1.8188881077316694
4,9. Winkler max promedio,test,FAR (IC del modelo AR),1.0377459314610837
4,9. Winkler max promedio,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0087549227489132
4,9. Winkler max promedio,test,PSBPM-FD (predictiva bayesiana),1.9303387005520996
4,10. Winkler max peor ventana,train,FAR (IC del modelo AR),1.0424734361991177
4,10. Winkler max peor ventana,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.050694676224551
4,10. Winkler max peor ventana,train,PSBPM-FD (predictiva bayesiana),1.4003080991550856
4,10. Winkler max peor ventana,test,FAR (IC del modelo AR),1.0567480479932465
4,10. Winkler max peor ventana,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0257574032915904
4,10. Winkler max peor ventana,test,PSBPM-FD (predictiva bayesiana),1.5233008326469433
