t,bloque,banda,I_t_puntual,I_t_simultaneo
176,train,PSBPM-FD (predictiva bayesiana),0.9333333333333333,0.0
177,train,PSBPM-FD (predictiva bayesiana),0.4533333333333333,0.0
178,train,PSBPM-FD (predictiva bayesiana),0.8133333333333334,0.0
179,train,PSBPM-FD (predictiva bayesiana),0.9066666666666666,0.0
180,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
181,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
182,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
183,train,PSBPM-FD (predictiva bayesiana),0.9466666666666667,0.0
184,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
185,train,PSBPM-FD (predictiva bayesiana),0.96,0.0
186,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
187,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
188,train,PSBPM-FD (predictiva bayesiana),0.96,0.0
189,train,PSBPM-FD (predictiva bayesiana),0.9333333333333333,0.0
190,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
191,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
192,train,PSBPM-FD (predictiva bayesiana),0.84,0.0
193,train,PSBPM-FD (predictiva bayesiana),0.88,0.0
194,train,PSBPM-FD (predictiva bayesiana),0.68,0.0
195,train,PSBPM-FD (predictiva bayesiana),0.9466666666666667,0.0
196,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
197,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
198,train,PSBPM-FD (predictiva bayesiana),0.7866666666666666,0.0
199,train,PSBPM-FD (predictiva bayesiana),0.96,0.0
200,train,PSBPM-FD (predictiva bayesiana),0.96,0.0
201,train,PSBPM-FD (predictiva bayesiana),0.9733333333333334,0.0
202,train,PSBPM-FD (predictiva bayesiana),0.8666666666666667,0.0
203,train,PSBPM-FD (predictiva bayesiana),0.9466666666666667,0.0
204,train,PSBPM-FD (predictiva bayesiana),0.9733333333333334,0.0
205,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
206,train,PSBPM-FD (predictiva bayesiana),0.9066666666666666,0.0
207,train,PSBPM-FD (predictiva bayesiana),0.92,0.0
208,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
209,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
210,train,PSBPM-FD (predictiva bayesiana),0.88,0.0
211,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
212,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
213,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
214,train,PSBPM-FD (predictiva bayesiana),0.9733333333333334,0.0
215,train,PSBPM-FD (predictiva bayesiana),0.8,0.0
216,train,PSBPM-FD (predictiva bayesiana),0.96,0.0
217,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
218,train,PSBPM-FD (predictiva bayesiana),0.88,0.0
219,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
220,train,PSBPM-FD (predictiva bayesiana),0.9866666666666667,0.0
221,train,PSBPM-FD (predictiva bayesiana),0.76,0.0
222,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
223,train,PSBPM-FD (predictiva bayesiana),0.9333333333333333,0.0
224,train,PSBPM-FD (predictiva bayesiana),0.8533333333333334,0.0
225,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
226,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
227,train,PSBPM-FD (predictiva bayesiana),0.92,0.0
228,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
229,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
230,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
231,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
232,train,PSBPM-FD (predictiva bayesiana),0.9733333333333334,0.0
233,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
234,train,PSBPM-FD (predictiva bayesiana),0.88,0.0
235,train,PSBPM-FD (predictiva bayesiana),0.9733333333333334,0.0
236,train,PSBPM-FD (predictiva bayesiana),0.9866666666666667,0.0
237,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
238,train,PSBPM-FD (predictiva bayesiana),0.5066666666666667,0.0
239,train,PSBPM-FD (predictiva bayesiana),0.8933333333333333,0.0
240,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
241,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
242,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
243,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
244,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
245,train,PSBPM-FD (predictiva bayesiana),0.7333333333333333,0.0
246,train,PSBPM-FD (predictiva bayesiana),0.9333333333333333,0.0
247,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
248,train,PSBPM-FD (predictiva bayesiana),0.92,0.0
249,train,PSBPM-FD (predictiva bayesiana),0.84,0.0
250,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
251,train,PSBPM-FD (predictiva bayesiana),0.8,0.0
252,train,PSBPM-FD (predictiva bayesiana),0.96,0.0
253,train,PSBPM-FD (predictiva bayesiana),0.6133333333333333,0.0
254,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
255,train,PSBPM-FD (predictiva bayesiana),0.88,0.0
256,train,PSBPM-FD (predictiva bayesiana),0.92,0.0
257,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
258,train,PSBPM-FD (predictiva bayesiana),0.9466666666666667,0.0
259,train,PSBPM-FD (predictiva bayesiana),0.76,0.0
260,train,PSBPM-FD (predictiva bayesiana),0.8266666666666667,0.0
261,train,PSBPM-FD (predictiva bayesiana),0.96,0.0
262,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
263,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
264,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
265,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
