M,metrica,columna,banda,bloque,minimo,maximo,promedio
2,10. Winkler max peor ventana,winkler_max_glob,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,5.604912991210564,97.50807253766789,34.19428631472089
2,10. Winkler max peor ventana,winkler_max_glob,PSBPM-FD (predictiva bayesiana),test,54.22521253702995,173.08369700650624,107.66638113772986
2,10. Winkler max peor ventana,winkler_max_glob,PSBPM-FD (predictiva bayesiana),train,5.546670913696289,91.82126503788523,38.28588512723972
3,5. MPIW,mpiw,FAR (IC del modelo AR),test,5.245249172487301,5.245249172487301,5.245249172487301
3,5. MPIW,mpiw,FAR (IC del modelo AR),train,5.245249172487301,5.245249172487301,5.245249172487301
3,5. MPIW,mpiw,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,5.339042464475702,5.339042464475702,5.339042464475702
3,5. MPIW,mpiw,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,5.339042464475702,5.339042464475702,5.339042464475702
3,5. MPIW,mpiw,PSBPM-FD (predictiva bayesiana),test,6.069769897500674,7.923019615029295,6.7703084702634015
3,5. MPIW,mpiw,PSBPM-FD (predictiva bayesiana),train,4.968899785498778,5.993749335855245,5.324818071195301
3,6. PICP puntual,picp,FAR (IC del modelo AR),test,0.4206666666666667,0.9353333333333333,0.7455966785290629
3,6. PICP puntual,picp,FAR (IC del modelo AR),train,0.8813333333333333,1.0,0.9545058823529411
3,6. PICP puntual,picp,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,0.364,0.9226666666666666,0.7084792408066429
3,6. PICP puntual,picp,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,0.8506666666666667,1.0,0.9556970588235294
3,6. PICP puntual,picp,PSBPM-FD (predictiva bayesiana),test,0.5973333333333334,0.9346666666666666,0.798982206405694
3,6. PICP puntual,picp,PSBPM-FD (predictiva bayesiana),train,0.8546666666666667,1.0,0.953557843137255
3,7. PICPB curva completa,picp_simultaneo,FAR (IC del modelo AR),test,0.25,0.75,0.5322064056939502
3,7. PICPB curva completa,picp_simultaneo,FAR (IC del modelo AR),train,0.65,1.0,0.8676470588235294
3,7. PICPB curva completa,picp_simultaneo,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,0.2,0.8,0.49430604982206405
3,7. PICPB curva completa,picp_simultaneo,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,0.65,1.0,0.8727941176470588
3,7. PICPB curva completa,picp_simultaneo,PSBPM-FD (predictiva bayesiana),test,0.4,0.8,0.6092526690391459
3,7. PICPB curva completa,picp_simultaneo,PSBPM-FD (predictiva bayesiana),train,0.65,1.0,0.8610294117647059
3,8. Winkler,winkler,FAR (IC del modelo AR),test,6.465004232709049,31.84490062132927,13.891186727497631
3,8. Winkler,winkler,FAR (IC del modelo AR),train,5.250296756901449,8.858811604509441,6.019747019127447
3,8. Winkler,winkler,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,6.899177112000525,36.09418346851791,15.987157269386534
3,8. Winkler,winkler,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,5.343813566278003,9.546980290300121,6.172479035465633
3,8. Winkler,winkler,PSBPM-FD (predictiva bayesiana),test,7.654559541194262,28.15845718176515,14.136636927725894
3,8. Winkler,winkler,PSBPM-FD (predictiva bayesiana),train,4.971485226843003,9.118957120029204,6.058439948238103
3,9. Winkler max promedio,winkler_max_medio,FAR (IC del modelo AR),test,9.863412363421435,52.15642795237174,24.489749815807325
3,9. Winkler max promedio,winkler_max_medio,FAR (IC del modelo AR),train,5.487997383902713,15.270728772715653,7.979064730738367
3,9. Winkler max promedio,winkler_max_medio,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,12.904230838598835,59.644108443600786,28.968264135907027
3,9. Winkler max promedio,winkler_max_medio,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,5.543553779287488,16.547109926800125,8.146543421772952
3,9. Winkler max promedio,winkler_max_medio,PSBPM-FD (predictiva bayesiana),test,11.346239136231855,42.04604404125481,23.814900881355264
3,9. Winkler max promedio,winkler_max_medio,PSBPM-FD (predictiva bayesiana),train,5.159352040290832,16.182485111459403,8.19009238818178
3,10. Winkler max peor ventana,winkler_max_glob,FAR (IC del modelo AR),test,34.11062272124456,139.07864025136004,94.16593606155465
3,10. Winkler max peor ventana,winkler_max_glob,FAR (IC del modelo AR),train,5.487997383902714,97.9239292208958,33.44846115268042
3,10. Winkler max peor ventana,winkler_max_glob,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,50.824281117050695,153.44564076886334,103.16403793870842
3,10. Winkler max peor ventana,winkler_max_glob,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,5.543553779287488,95.0937515368309,33.756867992958725
3,10. Winkler max peor ventana,winkler_max_glob,PSBPM-FD (predictiva bayesiana),test,45.27973644484833,148.31188617686684,97.94350965387217
3,10. Winkler max peor ventana,winkler_max_glob,PSBPM-FD (predictiva bayesiana),train,5.5628862380981445,95.97814159609757,32.00465097010394
